DB Index,Part Name,Batch Name,Log Date,Temp,PTI State,Comment,Ref,VIPR Code/Note,Part Class,Critical Defect,Dimensional,EC,Failure Type,LPI,Picked,SubGroup,Visual,intSite,Fail Reason,NDT_Comment,Tracker Result,MfgMonth,MfgYear (YY),Result,%PeaksIn,PTIScore,Freq 1,Freq 2,Freq 3,Freq 4,Freq 5,Freq 6,Freq 7,Freq 8,Freq 9,Freq 10,Freq 11,Freq 12,Freq 13,Freq 14,Freq 15,Freq 16,Freq 17,Freq 18,Freq 19,Freq 20,Freq 21,Freq 22,Freq 23,Freq 24,Freq 25,Freq 26,Freq 27,Freq 28,Freq 1,Amp 1,ZW 1,D2 1,Q 1,Freq 2,Amp 2,ZW 2,D2 2,Q 2,Freq 3,Amp 3,ZW 3,D2 3,Q 3,Freq 4,Amp 4,ZW 4,D2 4,Q 4,Freq 5,Amp 5,ZW 5,D2 5,Q 5,Freq 6,Amp 6,ZW 6,D2 6,Q 6,Freq 7,Amp 7,ZW 7,D2 7,Q 7,Freq 8,Amp 8,ZW 8,D2 8,Q 8,Freq 9,Amp 9,ZW 9,D2 9,Q 9,Freq 10,Amp 10,ZW 10,D2 10,Q 10,Freq 11,Amp 11,ZW 11,D2 11,Q 11,Freq 12,Amp 12,ZW 12,D2 12,Q 12,Freq 13,Amp 13,ZW 13,D2 13,Q 13,Freq 14,Amp 14,ZW 14,D2 14,Q 14,Freq 15,Amp 15,ZW 15,D2 15,Q 15,Freq 16,Amp 16,ZW 16,D2 16,Q 16,Freq 17,Amp 17,ZW 17,D2 17,Q 17,Freq 18,Amp 18,ZW 18,D2 18,Q 18,Freq 19,Amp 19,ZW 19,D2 19,Q 19,Freq 20,Amp 20,ZW 20,D2 20,Q 20,Freq 21,Amp 21,ZW 21,D2 21,Q 21,Freq 22,Amp 22,ZW 22,D2 22,Q 22,Freq 23,Amp 23,ZW 23,D2 23,Q 23,Freq 24,Amp 24,ZW 24,D2 24,Q 24,Freq 25,Amp 25,ZW 25,D2 25,Q 25,Freq 26,Amp 26,ZW 26,D2 26,Q 26,Freq 27,Amp 27,ZW 27,D2 27,Q 27,Freq 28,Amp 28,ZW 28,D2 28,Q 28
35,6549,45907197_1450,11/17/2023 1:56,24.5,2,,TRUE,,GD,No Defect,Not Done,Pass,,Not Done,Pass,,Pass,300_FW,none,0,,12,2015,Fail,0,0,0.158,0.1,-0.055,0.044,0.415,0.09,0.029,0.101,0.024,0.008,0.009,0.017,-0.003,0.051,0.026,0.062,0.567,0.043,0.045,0.008,0.01,0.009,-0.038,0.044,0.063,-0.014,0.038,-0.003,0.158,79.133,8.45,-130.368,-7.646,0.1,2.182,9.14,-48.41,-8.283,-0.055,-3.653,1.315,6.951,-1.352,0.044,15.355,-12.466,-42.063,14.291,0.415,-34.309,60.832,-500.576,-37.565,0.09,-15.638,-11.936,3.848,13.657,0.029,-17.216,-3.559,-5.925,3.721,0.101,7.176,-17.126,-29.75,20.786,0.024,-12.672,10.574,32.704,-9.541,0.008,-14.61,-11.153,-21.003,12.562,0.009,-33.285,-10.483,-0.1,11.721,0.017,-16.957,14.785,17.767,-12.866,-0.003,-33.292,5.876,21.037,-5.552,0.051,-7.629,21.011,15.627,-17.32,0.026,-32.521,3.549,1.016,-3.402,0.062,-19.234,0.371,3.202,-0.308,0.567,-94.786,-8.636,34.216,10.072,0.043,-8.591,-35.239,-118.234,54.48,0.045,-7.318,8.548,5.624,-7.833,0.008,-42.12,-44.938,31.683,81.629,0.01,-46.028,2.047,-0.057,-1.997,0.009,-51.255,-3.682,-27.07,3.832,-0.038,-57.669,-39.656,-122.352,65.654,0.044,12.198,-17.55,-80.361,21.34,0.063,91.753,-14.38,-82.52,16.869,-0.014,-7.981,-19.319,-39.498,23.928,0.038,-3.929,-7.566,-15.944,8.226,-0.003,16.201,18.351,-1.891,-15.508
36,6551,45894407_1450,11/16/2023 18:01,22.3,2,,TRUE,,GD,No Defect,Pass,Pass,,Not Done,Pass,,Pass,110_LVL (new),none,0,,12,2015,Fail,0,0,0.035,0.575,0.024,0.069,-0.028,0.01,-0.059,-0.058,-0.017,-0.031,0.43,-0.052,0.011,-0.279,-0.019,0.067,-0.025,-0.047,-0.003,0.509,0.065,0.004,0.028,-0.005,-0.058,0.016,-0.027,0,0.035,66.482,-59.791,-21.711,148.788,0.575,161.785,52.039,22.429,-33.849,0.024,1899.878,-33.88,-152.362,51.277,0.069,1440.144,-4.913,-111.957,5.239,-0.028,127.98,21.908,-45.238,-17.994,0.01,1172.133,-6.38,-136.348,6.826,-0.059,1598.04,-11.124,-211.904,12.45,-0.058,1259.099,64.45,-159.773,-39.227,-0.017,1012.335,6.807,-93.448,-6.389,-0.031,1786,-30.102,-249.035,43.022,0.43,1431.317,-15.989,-218.527,19.543,-0.052,1410.152,23.048,-226.157,-18.774,0.011,1045.559,15.02,-88.189,-13.049,-0.279,2646.329,190.199,-154.477,-65.637,-0.019,133.524,-10.734,0.102,12.003,0.067,2393.107,281.083,-197.865,-73.741,-0.025,2517.223,-38.744,-517.399,63.209,-0.047,84.193,-23.398,-108.693,30.483,-0.003,1311.177,31.324,6.676,-23.855,0.509,326.873,118.094,-81.656,-53.915,0.065,231.424,-32.834,-248.411,48.982,0.004,177.251,-7.295,-65.531,7.873,0.028,688.686,12.446,-125.792,-11.044,-0.005,817.548,31.608,-49.98,-24.021,-0.058,-45.331,-22.941,-8.489,29.695,0.016,510.65,29.349,11.992,-22.677,-0.027,16.949,-39.036,-31.206,63.988,0,-86.732,-26.964,20.893,36.918
37,6551,45217029_355,11/22/2022 20:23,22.7,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,12,2015,Fail,0,0,0.472,-0.045,0.318,0.205,0.285,0.313,0.272,0.341,0.355,0.336,-0.085,0.325,0.329,0.563,0.286,0.237,0.311,0.266,0.225,0.405,0.26,0.301,0.246,0.376,0.358,0.277,0.29,0.307,0.472,-58.577,-21.551,18.111,28.074,-0.045,-60.682,41.62,60.546,-29.421,0.318,-73.554,-4.653,33.791,5.213,0.205,-61.983,-1.114,7.727,1.334,0.285,-44.051,-24.834,-3.206,33.417,0.313,-49.668,-17.481,19.092,21.564,0.272,-74.593,-9.181,46.334,10.408,0.341,-57.132,-60.486,-18.082,153.936,0.355,-65.811,-9.842,28.267,11.31,0.336,-75.022,4.521,39.248,-4.004,-0.085,-72.798,7.676,51.656,-7.208,0.325,-66.944,-32.325,49.488,48.245,0.329,-70.216,3.699,45.963,-3.25,0.563,-83.157,-65.897,41.294,194.878,0.286,61.85,-34.014,-89.958,51.98,0.237,-73.532,-83.227,-16.294,497.62,0.311,-72.452,-15.744,17.104,19.055,0.266,-75.011,5.828,35.742,-5.256,0.225,-95.279,-43.591,-73.328,77.676,0.405,-68.811,-28.704,38.274,40.827,0.26,-66.616,-22.194,4.607,28.858,0.301,-80.316,-29.083,28.923,41.434,0.246,-88.39,-29.926,31.628,43.058,0.376,-54.72,-18.486,34.249,23.14,0.358,-4.969,-40.916,-70.625,69.855,0.277,-60.095,-12.728,16.703,14.901,0.29,187.581,29.54,-11.553,-22.58,0.307,23.876,-19.21,6.342,24.157
38,8036,45447508_1450,3/24/2023 21:00,20.2,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,8,2017,Fail,0,0,-0.505,0.043,-0.109,-0.044,-0.054,0.02,-0.02,-0.041,0.024,0.016,0.061,0.03,0.02,0.03,0.015,0.02,0.028,-0.026,-0.02,0.009,0.021,0.025,-0.01,0.296,-100,0.084,0.002,-0.005,-0.505,181.034,5.813,11.188,-5.971,0.043,140.355,47.25,13.939,-32.059,-0.109,342.588,-24.578,34.911,32.443,-0.044,352.93,26.482,23.731,-20.972,-0.054,334.89,-1.411,10.031,1.376,0.02,354.728,11.139,14.699,-10.004,-0.02,568.282,16.237,-2.699,-13.986,-0.041,354.839,-5.101,-31.468,5.331,0.024,350.817,7.252,-2.256,-6.74,0.016,471.89,2.169,-10.111,-2.108,0.061,581.659,-1.748,-12.691,1.842,0.03,454.873,-12.81,-24.472,14.727,0.02,325.252,10.996,25.059,-9.889,0.03,316.8,-29.345,-24.454,41.575,0.015,519.295,9.323,8.508,-8.514,0.02,336.02,8.746,2.709,-8.024,0.028,392.731,14.432,-31.189,-12.587,-0.026,560.422,4.683,-13.37,-4.498,-0.02,333.206,1.695,5.041,-1.686,0.009,13.011,-0.972,4.406,0.99,0.021,473.016,8.015,15.138,-7.401,0.025,509.53,63.298,-0.873,-38.747,-0.01,-32.662,-11.043,-9.261,12.402,0.296,296.724,-3.303,-9.369,3.722,-100,-100,-100,100,-100,0.084,527.915,1.725,6.265,-1.613,0.002,311.801,-32.061,-2.694,47.194,-0.005,-44.787,-45.214,4.743,82.518
39,8060,45278392_1450,12/27/2022 20:51,20.5,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,110_LVL (new),none,,,8,2017,Fail,0,0,-0.098,0.418,0.021,0.022,-0.157,-0.03,-0.016,-0.103,-0.054,0.012,-0.055,-0.027,-0.007,-0.037,-0.028,-0.038,-0.021,-0.045,-0.038,-0.076,0.032,0.284,0.03,-0.081,0.061,-0.034,-0.034,-0.032,-0.098,40.82,-67.244,69.351,204.99,0.418,268.656,39.837,78.874,-28.189,0.021,358.256,20.421,-27.467,-16.941,0.022,415.435,-6.493,-24.662,6.968,-0.157,452.488,17.726,-0.251,-15.191,-0.03,493.848,20.295,-25.665,-16.896,-0.016,374.733,-56.957,8.28,132.286,-0.103,467.073,-41.343,-342.802,70.308,-0.054,312.165,-9.931,-44.931,10.966,0.012,569.984,-35.439,-276.604,54.91,-0.055,419.775,-22.097,-59.085,28.294,-0.027,525.587,-11.122,-108.547,12.483,-0.007,-38.679,2.883,2.417,-2.809,-0.037,486.835,-33.926,-211.943,51.288,-0.028,452.444,-18.741,-83.651,23.029,-0.038,680.26,-44.143,-389.897,78.961,-0.021,985.873,-48.424,-377.374,93.848,-0.045,556.022,-37.54,-183.357,60.032,-0.038,414.857,-13.291,-26.001,15.284,-0.076,-25,-53.012,53.203,112.659,0.032,31.989,-38.481,-263.276,62.604,0.284,-2.169,-17.171,-10.123,21.074,0.03,44.982,-58.207,-303.929,139.346,-0.081,-33.701,-40.506,-122.723,67.95,0.061,-15.705,45.622,-702.609,-31.287,-0.034,238.671,-3.18,-70.136,3.249,-0.034,336.465,-25.481,-76.407,34.15,-0.032,-83.015,-29.811,24.489,42.427
40,8077,45631989_1450,6/30/2023 16:57,25.7,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,0,0,Fail,0,0,-0.41,0.836,0.026,0.052,0.306,0.06,-0.011,-0.015,0.032,0.008,0.023,-0.013,0.051,0.025,0.018,0.057,0.007,0.023,0.03,0.54,0.024,0.086,0.03,-100,-0.009,-0.002,-0.182,0.001,-0.41,256.734,10.572,88.859,-9.932,0.836,339.167,72.715,89.385,-41.617,0.026,452.883,-14.198,-64.193,16.578,0.052,413.727,-5.331,-10.232,5.686,0.306,-14.437,-53.663,-148.542,116.471,0.06,477.396,17.262,-9.962,-14.67,-0.011,404.71,-1.317,-25.902,1.323,-0.015,248.071,-21.048,-61.853,26.64,0.032,332.493,-5.606,-42.328,5.972,0.008,460.345,-4.557,-54.523,4.783,0.023,301.246,-7.616,-39.238,8.269,-0.013,394.612,-17.527,-85.637,21.236,0.051,343.113,3.033,9.234,-2.895,0.025,534.378,14.339,-10.91,-12.52,0.018,-35.117,6.42,6.814,-6.016,0.057,743.325,-21.723,-151.432,27.824,0.007,841.97,-32.716,-213.481,48.634,0.023,550.246,-1.103,-36.801,1.138,0.03,-47.471,28.319,56.637,-22.046,0.54,775.059,111.701,-25.462,-52.508,0.024,-4.114,-28.654,-111.288,40.196,0.086,-28.783,-18.941,-4.697,23.472,0.03,-19.903,-22.99,-59.611,29.891,-100,-100,-100,100,-100,-0.009,-37.119,11.004,27.536,-9.922,-0.002,211.769,-13.363,-14.693,15.422,-0.182,194.334,49.492,26.462,-33.228,0.001,-85.104,35.423,51.59,-26.156
41,9015,45633942_1450,7/4/2023 16:06,25.4,2,,TRUE,,B3,No Defect,Not Done,Pass,Green,Pass,Pass,Green,Pass,300_FW,none,,,0,0,Fail,0,0,-0.6,0.535,0.393,0.053,-0.022,0.13,0.004,0.186,0.151,-0.07,-0.161,-0.213,-0.118,0.09,-0.084,0.017,0.023,0.016,0.06,0.158,-0.005,-0.003,-0.013,-100,0.118,0.011,0.098,0.048,-0.6,129.208,219.787,58.221,-68.917,0.535,25.433,72.793,-12.067,-41.818,0.393,307.098,172.877,-128.751,-63.209,0.053,167.233,-2.7,1.95,2.83,-0.022,165.441,40.89,37.561,-29.038,0.13,145.587,11.407,18.558,-10.122,0.004,43.765,-26.595,-15.801,36.236,0.186,451.75,205.779,-42.026,-67.236,0.151,147.69,17.582,-22.078,-14.825,-0.07,111.803,1.818,-13.659,-1.854,-0.161,6.04,87.28,-0.678,-46.69,-0.213,22.997,-25.484,17.258,33.915,-0.118,32.627,11.529,-12.915,-10.443,0.09,142.166,-15.889,26.869,18.998,-0.084,17.594,23.747,19.527,-19.258,0.017,116.564,-7.807,-7.433,8.487,0.023,4.63,-26.107,-48.021,35.362,0.016,36.541,-10.178,-40.176,11.349,0.06,156.523,-1.761,-53.412,1.853,0.158,78.706,1.295,-39.799,-1.123,-0.005,78.946,12.521,0.029,-11.132,-0.003,-23.915,66.931,31.181,-40.097,-0.013,-90.039,-10.821,4.356,12.119,-100,-100,-100,100,-100,0.118,-50.415,-15.737,32.079,18.815,0.011,99.79,-18.975,-27.042,23.432,0.098,288.548,30.56,-18.598,-23.331,0.048,-70.25,-36.139,-115.709,56.666
42,9065,45459487_1450,4/1/2023 17:17,21.4,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,9,2018,Fail,0,0,-0.976,-0.513,-0.108,-0.054,0.009,0.03,-0.078,0.014,0.031,0.008,0.008,-0.059,-0.045,0.001,-0.057,-0.007,-0.001,-0.043,-0.075,0.012,-0.037,-0.047,-0.05,0.035,-0.044,0.044,-0.022,-0.037,-0.976,196.653,-35.19,85.257,52.793,-0.513,54.775,-35.605,56.365,54.496,-0.108,339.958,139.826,71.221,-58.348,-0.054,540.595,7.158,19.775,-6.73,0.009,537.64,34.021,36.957,-25.378,0.03,588.123,8.244,-8.727,-7.588,-0.078,391.667,31.197,-0.256,-23.838,0.014,579.861,1.577,-28.258,-1.539,0.031,439.507,3.839,-22.875,-3.667,0.008,449.006,6.845,-8.779,-6.399,0.008,438.091,-9.793,2.089,10.865,-0.059,321.223,12.301,-3.781,-11.006,-0.045,292.957,49.786,49.387,-33.268,0.001,481.069,0.634,55.512,-0.628,-0.057,281.315,5.191,-53.407,-4.989,-0.007,341.638,18.596,33.816,-15.686,-0.001,356.463,1.481,13.175,-1.461,-0.043,450.485,8.436,-8.779,-7.819,-0.075,152.987,43.849,36.551,-30.535,0.012,374.39,-8.93,-62.165,9.82,-0.037,381.731,-2.548,8.098,2.577,-0.047,-42.388,-25.306,39.041,33.817,-0.05,-52.163,-8.799,-1.5,9.593,0.035,570.372,38.111,20.482,-27.569,-0.044,10.96,-50.64,38.129,102.504,0.044,548.855,47.483,21.361,-32.166,-0.022,456.773,18.366,3.281,-15.536,-0.037,-73.175,-27.039,26.741,37.009
43,9066,45481233_1450,4/12/2023 23:37,25.2,2,,TRUE,,B3,No Defect,Pass,Pass,Green,Pass,Pass,Green,Pass,300_FW,none,,,9,2018,Fail,0,0,-0.529,-0.312,0.061,0.054,-0.081,0.11,-0.04,-0.055,0.063,0,0.03,0.009,0.039,0.066,0.386,0.172,0.08,0.054,0.041,-0.338,0.052,0.074,0.066,0.043,0.109,0.136,0.059,-0.002,-0.529,674.448,10.278,70.15,-9.8,-0.312,627.201,-56.632,-12.263,129.867,0.061,1154.41,-15.791,-189.631,18.825,0.054,576.711,4.636,-43.684,-4.379,-0.081,920.271,-30.131,-197.418,43.008,0.11,772.017,13.72,-37.166,-11.967,-0.04,961.407,10.575,-141.286,-9.6,-0.055,1004.033,-26.52,-280.859,36.017,0.063,720.794,-8.294,-115.66,9.113,0,838.547,17.844,-594.222,-15.142,0.03,552.332,-17.625,-149.025,21.433,0.009,642.788,-15.306,-125.58,18.082,0.039,673.32,-0.439,-52.232,0.48,0.066,913.457,72.494,-124.021,-41.989,0.386,924.002,235.796,-525.684,-70.105,0.172,1876.989,266.225,-435.435,-72.648,0.08,267.989,-28.769,-273.23,40.5,0.054,1172.585,3.645,-142.691,-3.465,0.041,3149.485,36.793,0.857,-26.867,-0.338,244.812,-38.402,-17.689,61.795,0.052,82.534,-33.608,-216.994,50.7,0.074,46.331,168.315,-165.186,-62.703,0.066,289.573,63.688,-16.801,-38.868,0.043,802.439,17.256,-102.355,-14.679,0.109,22.049,-25.781,-5.371,34.884,0.136,-65.457,-66.388,34.609,197.916,0.059,763.518,25.829,-103.734,-20.48,-0.002,-74.352,17.278,17.132,-14.734
44,9083,45706689_1450,8/14/2023 16:01,23.2,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,110_LVL (new),none,,,9,2018,Fail,0,0,0.017,0.468,0.016,-0.048,-0.038,-0.03,0.089,-0.165,0.003,0.101,0.168,0.093,0.164,-0.031,0.07,-0.01,0.07,-0.021,-0.019,0.044,0.01,-0.106,0.081,0.286,-0.009,0.034,-0.359,-0.043,0.017,535.614,43.839,28.27,-30.466,0.468,1066.571,27.442,31.107,-21.166,0.016,1127.851,-8.66,-84.885,9.499,-0.048,575.214,0.403,-57.288,-0.45,-0.038,288.539,-47.239,-179.848,89.461,-0.03,758.329,-11.505,-140.894,12.967,0.089,1881.977,2.775,-75.803,-2.613,-0.165,86.275,18.831,-27.675,-15.986,0.003,666.696,-1.282,-65.137,1.302,0.101,1424.645,1.946,-58.666,-1.81,0.168,87.415,16.096,16.37,-13.72,0.093,1742.928,-12.335,-150.838,14.176,0.164,1017.353,10.63,-29.865,-9.46,-0.031,-52.468,2.831,16.213,-2.783,0.07,414.211,66.328,17.336,-39.836,-0.01,643.613,14.887,-27.822,-12.967,0.07,1372.443,6.392,-62.955,-5.942,-0.021,5.512,55.187,58.531,-35.575,-0.019,2930.193,10.145,13.932,-9.228,0.044,41.563,-10.045,-5.742,11.216,0.01,44.695,-8.138,-57.737,8.869,-0.106,3.353,-64.859,31.262,184.267,0.081,271.113,100.957,29.288,-50.198,0.286,974.827,-35.288,-90.144,54.974,-0.009,-57.744,-20.564,16.659,25.876,0.034,392.721,82.451,52.805,-45.172,-0.359,27.067,-64.032,45.574,177.023,-0.043,-60.689,66.747,47.786,-40.055
45,B0068,45707768_1450,8/15/2023 19:24,23.7,2,,TRUE,,GD,No Defect,Not Done,Pass,,Not Done,Pass,,Pass,110_LVL (new),none,,,6,2019,Fail,0,0,0.121,0.184,0.033,-0.021,-0.051,-0.01,-0.021,-0.08,-0.015,-0.009,0.015,-0.051,0,-0.067,-0.028,-0.015,-0.042,-0.038,-0.097,-0.061,-0.014,-0.032,-0.042,-100,-0.089,-0.013,-0.033,-0.052,0.121,923.034,-12.303,-61.124,14.167,0.184,1476.505,38.709,-8.053,-27.774,0.033,1365.442,-14.631,-135.035,17.177,-0.021,799.431,-11.075,-138.953,12.431,-0.051,1069.864,-5.563,-156.038,5.837,-0.01,1044.139,-21.875,-193.403,27.987,-0.021,1110.937,10.601,-118.02,-9.604,-0.08,604.302,2.329,-73.454,-2.354,-0.015,770.249,5.868,-96.16,-5.557,-0.009,789.826,22.27,-78.896,-18.221,0.015,-7.519,17.472,3.133,-14.86,-0.051,1072.432,-13.101,-109.477,15.018,0,607.527,1.904,-45.906,-1.868,-0.067,-42.925,-14.379,-43.845,16.715,-0.028,275.812,15.311,-0.468,-13.302,-0.015,713.246,2.738,-81.25,-2.679,-0.042,821.297,5.892,-90.372,-5.603,-0.038,528.64,31.51,4.204,-23.989,-0.097,2442.618,83.337,51.462,-45.508,-0.061,804.975,33.721,-24.502,-25.263,-0.014,30.117,8.855,-21.664,-8.147,-0.032,152.074,-4.233,-86.412,4.386,-0.042,232.3,2.504,-51.465,-2.484,-100,-100,-100,100,-100,-0.089,-69.959,20.337,64.624,-16.974,-0.013,-27.037,21.606,27.845,-17.778,-0.033,274.873,14.312,9.321,-12.549,-0.052,-66.328,-6.793,42.644,7.232
46,B0276,45521386_1450,5/8/2023 18:41,23.3,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,9,2019,Fail,0,0,-0.499,-0.295,0.013,0.009,0.019,0.05,-0.018,0.024,-0.016,0,0.046,-0.099,-0.017,-0.344,-0.023,-0.002,-0.326,-0.028,-0.03,-0.037,0.01,0.024,-0.049,0.315,0.004,0.108,-0.002,-0.034,-0.499,-19.221,-60.165,25.131,149.783,-0.295,-43.568,-25.522,21.583,33.872,0.013,1169.98,16.661,25.903,-14.27,0.009,510.473,31.212,50.089,-23.781,0.019,760.612,53.998,56.427,-35.052,0.05,604.761,5.948,18.332,-5.566,-0.018,538.176,-7.065,19.771,7.583,0.024,689.991,-10.669,-90.402,11.97,-0.016,406.798,-7.32,6.655,7.881,0,414.776,30.462,3.396,-23.349,0.046,490.08,27.678,8.784,-21.642,-0.099,523.654,63.4,-36.249,-38.861,-0.017,402.128,-7.165,-3.308,7.7,-0.344,17.423,-71.945,61.2,255.214,-0.023,-57.804,-3.007,12.372,3.076,-0.002,490.605,5.772,11.3,-5.459,-0.326,970.08,31.759,30.262,-24.352,-0.028,511.665,6.261,-2.116,-5.918,-0.03,421.859,-14.744,-91.454,17.258,-0.037,697.942,-7.278,-64.336,7.809,0.01,-22.307,0.763,14.718,-0.748,0.024,6.992,-36.907,-111.524,58.535,-0.049,-18.344,-5.962,-15.857,6.288,0.315,380.83,59.253,-212.315,-37.009,0.004,103.767,-21.228,15.46,26.953,0.108,736.711,65.589,-118.421,-39.544,-0.002,584.154,21.557,14.643,-17.736,-0.034,-50.562,-53.631,-40.739,115.586
47,D0088,45673631_1450,7/28/2023 19:21,24.3,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,110_LVL (new),none,,,10,2018,Fail,0,0,-0.007,-0.109,0.028,-0.048,-0.047,-0.02,-0.137,-0.065,-0.039,-0.031,-0.023,-0.03,-0.011,-0.043,-0.044,-0.053,-0.043,-0.038,-0.035,-0.057,-0.042,-0.033,-0.035,-0.01,-0.05,-0.018,-0.049,-0.034,-0.007,222.225,-9.651,34.582,10.674,-0.109,330.092,0.607,-5.912,-0.712,0.028,561.922,-19.76,-80.332,24.662,-0.048,295.273,9.914,14.195,-9.064,-0.047,329.781,1.121,-0.75,-1.155,-0.02,390.095,-22.204,-67.169,28.515,-0.137,450.947,-4.472,9.908,4.538,-0.065,344.692,-21.431,-38.716,27.194,-0.039,393.012,-7.9,-47.839,8.535,-0.031,400.53,2.461,10.756,-2.432,-0.023,428.702,-4.064,5.731,4.212,-0.03,433.825,-3.967,-26.696,4.1,-0.011,492.299,-12.216,-15.089,13.903,-0.043,401.998,-24.344,-35.908,32.12,-0.044,406.2,5.215,-19.3,-4.999,-0.053,319.507,8.485,14.803,-7.871,-0.043,384.584,14.025,-20.598,-12.338,-0.038,292.431,21.932,36.679,-18.018,-0.035,306.823,-3.31,-30.337,3.388,-0.057,520,6.285,-11.03,-5.967,-0.042,412.481,19.917,31.163,-16.644,-0.033,659.049,4.315,-2.61,-4.168,-0.035,690.457,1.488,-46.999,-1.501,-0.01,366.376,-5.543,5.289,5.858,-0.05,-46.702,-25.184,-38.782,33.594,-0.018,-34.077,-25.321,-34.007,33.882,-0.049,251.194,-6.651,-6.676,7.073,-0.034,-10.369,-57.149,-98.469,133.291
48,D0138,45513969_1450,4/30/2023 17:46,24.8,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,0,0,Fail,0,0,-0.102,-0.631,0.19,0.188,0.173,0.211,0.203,0.253,0.266,0.712,0.21,0.203,0.111,0.195,0.205,0.199,0.2,0.207,0.22,0.228,0.138,0.175,0.186,0.283,0.234,0.133,0.222,0.279,-0.102,193.65,207.544,-8.485,-67.517,-0.631,317.488,152.278,-333.269,-60.611,0.19,61.069,-2.011,-1.228,2.246,0.188,97.558,-0.069,7.242,0.257,0.173,5.727,0.071,9.167,0.102,0.211,81.221,-10.133,1.312,11.511,0.203,32.487,20.475,28.927,-16.826,0.253,108.698,33.596,13.754,-24.958,0.266,99.236,31.037,-1.623,-23.483,0.712,250.4,39.548,-2.568,-27.829,0.21,33.543,5.255,-37.973,-4.794,0.203,32.62,13.743,28.848,-11.904,0.111,35.936,10.161,32.295,-9.123,0.195,28.312,109.089,70.421,-52.08,0.205,64.407,9.588,13.136,-8.562,0.199,84.114,2.335,16.592,-2.087,0.2,28.044,-1.369,-11.256,1.59,0.207,42.12,-0.524,-7.577,0.735,0.22,122.06,14.457,-34.132,-12.439,0.228,31.059,-26.719,-30.167,36.771,0.138,58.57,-9.464,-38.213,10.606,0.175,-79.785,-41.535,-12.919,71.343,0.186,-94.744,-4.83,18.584,5.271,0.283,25.006,17.404,-3.841,-14.583,0.234,24.577,3.859,-11.393,-3.49,0.133,55.919,3.601,-48.288,-3.348,0.222,34.617,10.348,32.843,-9.176,0.279,-62.657,-22.531,-64.58,29.444
49,D0522,45603390_1450,6/15/2023 20:58,24.3,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,3,2019,Fail,0,0,-1.868,-1.254,0.07,-0.008,-0.022,-0.05,-0.04,-0.04,-0.008,-0.008,-0.015,-0.042,-0.111,-0.085,0.117,-0.007,-0.093,-0.069,-0.04,-0.058,-0.078,-0.011,-0.072,-0.007,-0.073,-0.024,0.177,-0.07,-1.868,-75.983,45.518,46.26,-32.563,-1.254,-68.417,-19.082,72.849,22.032,0.07,537.986,-17.739,-15.063,21.65,-0.008,336.473,11.829,16.789,-10.585,-0.022,315.873,35.461,46.661,-26.194,-0.05,371.327,24.105,9.01,-19.464,-0.04,234.829,27.559,37.773,-21.636,-0.04,330.896,1.654,4.404,-1.666,-0.008,314.758,-14.712,-31.842,17.24,-0.008,238.095,-23.286,-14.088,30.344,-0.015,196.705,11.133,-4.432,-10.032,-0.042,189.103,-3.601,6.706,3.692,-0.111,200.088,2.284,9.856,-2.341,-0.085,213.463,49.29,21.982,-33.073,0.117,187.849,-0.867,-42.314,0.993,-0.007,219.638,14.873,3.599,-12.953,-0.093,131.646,-1.291,2.808,1.213,-0.069,111.237,11.656,30.264,-10.501,-0.04,131.764,-0.862,-12.168,0.829,-0.058,53.754,58.243,46.521,-36.843,-0.078,86.348,19.247,38.319,-16.206,-0.011,-50.279,-29.363,-103.621,41.552,-0.072,-70.887,9.989,22.027,-9.147,-0.007,132.727,1.426,17.516,-1.413,-0.073,135.842,-0.23,-14.566,0.158,-0.024,303.778,-1.978,-11.549,1.993,0.177,2.238,-17.982,59.667,22.14,-0.07,-82.933,-18.644,31.334,22.83
