DB Index,Part Name,Batch Name,Log Date,Temp,PTI State,Comment,Ref,VIPR Code/Note,Part Class,Critical Defect,Dimensional,EC,Failure Type,LPI,Picked,SubGroup,Visual,intSite,Fail Reason,NDT_Comment,Tracker Result,MfgMonth,MfgYear (YY),Result,AvgZ,ZDev,Freq 1,Freq 3,Freq 5,Freq 7,Freq 8,Freq 9,Freq 10,Freq 11,Freq 12,Z Freq 1,Z Freq 3,Z Freq 5,Z Freq 7,Z Freq 8,Z Freq 9,Z Freq 10,Z Freq 11,Z Freq 12,Freq 1,Amp 1,ZW 1,D2 1,Q 1,Freq 2,Amp 2,ZW 2,D2 2,Q 2,Freq 3,Amp 3,ZW 3,D2 3,Q 3,Freq 4,Amp 4,ZW 4,D2 4,Q 4,Freq 5,Amp 5,ZW 5,D2 5,Q 5,Freq 6,Amp 6,ZW 6,D2 6,Q 6,Freq 7,Amp 7,ZW 7,D2 7,Q 7,Freq 8,Amp 8,ZW 8,D2 8,Q 8,Freq 9,Amp 9,ZW 9,D2 9,Q 9,Freq 10,Amp 10,ZW 10,D2 10,Q 10,Freq 11,Amp 11,ZW 11,D2 11,Q 11,Freq 12,Amp 12,ZW 12,D2 12,Q 12,Freq 13,Amp 13,ZW 13,D2 13,Q 13,Freq 14,Amp 14,ZW 14,D2 14,Q 14,Freq 15,Amp 15,ZW 15,D2 15,Q 15,Freq 16,Amp 16,ZW 16,D2 16,Q 16,Freq 17,Amp 17,ZW 17,D2 17,Q 17,Freq 18,Amp 18,ZW 18,D2 18,Q 18,Freq 19,Amp 19,ZW 19,D2 19,Q 19,Freq 20,Amp 20,ZW 20,D2 20,Q 20,Freq 21,Amp 21,ZW 21,D2 21,Q 21,Freq 22,Amp 22,ZW 22,D2 22,Q 22,Freq 23,Amp 23,ZW 23,D2 23,Q 23,Freq 24,Amp 24,ZW 24,D2 24,Q 24,Freq 25,Amp 25,ZW 25,D2 25,Q 25,Freq 26,Amp 26,ZW 26,D2 26,Q 26,Freq 27,Amp 27,ZW 27,D2 27,Q 27,Freq 28,Amp 28,ZW 28,D2 28,Q 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Margin on site 27,000_000,9/27/2021 23:00,25,0,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/27/21 13:26,FALSE,,GD,,Not Done,Not Done,,Not Done,Not Done,,Not Done,100_LVL (old),,,,0,0,Fail,0,0,2.15,2.979,0,3.423,3.931,4.221,4.301,4.359,4.724,-1.832,-3.654,0,1.667,-7.192,0.916,1.326,0.105,0.275,2.15,0.048,0.009,-55.537,0.248,2.297,0.027,0.01,-66.668,0.229,2.979,0.005,0.005,-11.893,0.606,3.079,0.017,0.015,-12.27,0.201,0,0,0,0,0,3.317,0.012,0.007,-68.827,0.453,3.423,0.03,0.015,-19.835,0.228,3.931,0.009,0.014,-22.688,0.28,4.221,0.057,0.007,-148.05,0.64,4.301,0.075,0.008,-75.184,0.541,4.359,0.091,0.009,-46.196,0.483,4.724,0.005,0.007,-32.206,0.639,5.075,0.171,0.008,-70.298,0.62,5.222,0.039,0.009,-18.269,0.591,5.509,0.044,0.009,-69.525,0.642,6,0.009,0.009,-35.867,0.66,6.063,0.008,0.009,-49.99,0.702,6.258,0.037,0.009,-62.83,0.728,6.656,0.016,0.012,-16.109,0.553,6.999,0.02,0.01,-45.154,0.673,7.155,0.057,0.01,-36.691,0.753,8.291,0.011,0.014,-17.719,0.585,8.428,0.006,0.015,-15.961,0.55,5.136,0.016,0.005,-72.666,0.961,5.702,0.011,0.009,-78.219,0.642,3.763,0.009,0.012,-13.144,0.322,6.166,0.023,0.008,-39.059,0.762,11.375,0.024,0.017,-14.457,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Margin on site 28,000_000,9/27/2021 23:04,24.9,0,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/27/21 13:31,FALSE,,GD,,Not Done,Not Done,,Not Done,Not Done,,Not Done,100_LVL (old),,,,0,0,Fail,0,0,2.149,2.982,0,3.424,3.931,4.221,4.301,4.36,4.724,-1.864,-3.392,0,1.689,-7.186,0.9,1.326,0.162,0.263,2.149,0.046,0.009,-49.675,0.245,2.299,0.029,0.009,-66.036,0.246,2.982,0.005,0.003,-10.77,0.957,3.077,0.016,0.014,-10.682,0.219,0,0,0,0,0,3.318,0.012,0.008,-68.481,0.415,3.424,0.035,0.015,-16.186,0.224,3.931,0.009,0.014,-17.37,0.285,4.221,0.058,0.007,-142.475,0.639,4.301,0.082,0.008,-74.24,0.528,4.36,0.099,0.009,-43.054,0.465,4.724,0.043,0.01,-39.327,0.489,5.076,0.18,0.008,-65.06,0.611,5.223,0.029,0.014,-8.685,0.365,5.51,0.048,0.009,-65.043,0.642,6,0.008,0.009,-30.928,0.674,6.064,0.007,0.009,-39.45,0.654,6.257,0.037,0.009,-56.408,0.697,6.655,0.016,0.013,-9.191,0.519,7,0.019,0.011,-37.479,0.627,7.155,0.054,0.01,-32.196,0.723,8.29,0.01,0.016,-15.28,0.518,8.429,0.006,0.017,-13.233,0.496,5.136,0.016,0.005,-49.896,0.937,5.701,0.011,0.009,-66.853,0.623,3.764,0.001,0.003,-19.79,1.336,6.165,0.02,0.009,-28.697,0.713,11.372,0.027,0.018,-10.695,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Margin on site 29,000_000,9/27/2021 23:08,24.9,0,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/27/21 13:35,FALSE,,GD,,Not Done,Not Done,,Not Done,Not Done,,Not Done,100_LVL (old),,,,0,0,Fail,0,0,2.15,0,0,3.421,3.931,4.221,4.301,4.359,4.725,-1.795,0,0,1.527,-7.194,0.923,1.308,0.11,0.343,2.15,0.048,0.014,-44.379,0.149,2.298,0.028,0.01,-75.361,0.229,0,0,0,0,0,3.08,0.018,0.013,-14.521,0.232,0,0,0,0,0,3.318,0.013,0.008,-69.338,0.419,3.421,0.004,0.012,-18.185,0.292,3.931,0.01,0.012,-21.641,0.317,4.221,0.057,0.006,-154.731,0.654,4.301,0.068,0.008,-73.463,0.565,4.359,0.085,0.01,-41.706,0.456,4.725,0.005,0.005,-47.333,0.88,5.075,0.158,0.009,-64.199,0.573,5.222,0.041,0.01,-26.089,0.516,5.509,0.04,0.009,-63.51,0.647,6,0.008,0.01,-34.267,0.631,6.063,0.052,0.009,-56.926,0.68,6.257,0.035,0.009,-59.151,0.722,6.655,0.017,0.014,-14.443,0.469,7,0.02,0.011,-40.809,0.639,7.155,0.055,0.009,-35.186,0.759,8.289,0.011,0.015,-16.874,0.556,8.43,0.006,0.016,-15.012,0.542,5.136,0.017,0.005,-101.486,1.013,5.702,0.012,0.009,-74.635,0.651,0,0,0,0,0,6.166,0.024,0.009,-40.432,0.699,11.377,0.018,0.015,-15.609,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Margin on site 30,000_000,9/27/2021 23:12,25,0,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/27/21 13:39,FALSE,,GD,,Not Done,Not Done,,Not Done,Not Done,,Not Done,100_LVL (old),,,,0,0,Fail,0,0,2.149,2.98,0,3.424,3.934,4.221,4.301,4.359,4.724,-1.869,-3.575,0,1.708,-7.077,0.923,1.326,0.105,0.276,2.149,0.044,0.009,-40.443,0.229,2.298,0.026,0.009,-66.092,0.243,2.98,0.005,0.002,-20.521,1.328,3.076,0.016,0.009,-15.011,0.33,0,0,0,0,0,3.317,0.012,0.008,-69.564,0.442,3.424,0.03,0.016,-20.114,0.212,3.934,0.009,0.01,-21.694,0.412,4.221,0.056,0.007,-146.943,0.643,4.301,0.073,0.008,-72.187,0.553,4.359,0.09,0.009,-44.876,0.482,4.724,0.038,0.009,-42.092,0.544,5.076,0.165,0.009,-64.809,0.576,5.222,0.037,0.012,-16.768,0.449,5.51,0.043,0.009,-65.889,0.638,6,0.008,0.009,-32.006,0.633,6.063,0.051,0.009,-50.523,0.653,6.258,0.034,0.009,-56.201,0.707,6.655,0.016,0.014,-10.771,0.485,6.999,0.019,0.011,-40.13,0.628,7.155,0.053,0.01,-32.518,0.728,8.289,0.01,0.016,-15.861,0.527,8.428,0.006,0.015,-12.923,0.55,5.136,0.016,0.005,-63.985,0.937,5.702,0.01,0.009,-70.203,0.658,3.766,0.001,0.002,-18.913,1.607,6.166,0.022,0.008,-35.831,0.732,11.374,0.024,0.017,-12.112,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Margin on site,000_000,9/27/2021 22:20,25.2,0,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/27/21 12:47,FALSE,,GD,,Not Done,Not Done,,Not Done,Not Done,,Not Done,100_LVL (old),,,,0,0,Fail,0,0,2.15,2.982,0,3.424,3.933,4.222,4.302,4.359,4.726,-1.795,-3.383,0,1.727,-7.125,0.973,1.363,0.128,0.374,2.15,0.049,0.009,-67.58,0.237,2.299,0.028,0.009,-64.593,0.247,2.982,0.005,0.002,-30.615,1.517,3.08,0.018,0.006,-15.68,0.485,0,0,0,0,0,3.32,0.013,0.008,-72.878,0.435,3.424,0.032,0.013,-24.199,0.271,3.933,0.01,0.012,-16.956,0.32,4.222,0.058,0.007,-136.117,0.615,4.302,0.075,0.008,-78.68,0.553,4.359,0.092,0.009,-43.569,0.477,4.726,0.039,0.009,-44.692,0.544,5.076,0.171,0.008,-64.476,0.601,5.224,0.042,0.008,-24.787,0.639,5.511,0.044,0.008,-64.036,0.673,6.001,0.009,0.009,-34.919,0.663,6.066,0.007,0.01,-44.379,0.581,6.259,0.037,0.009,-58.702,0.705,6.656,0.017,0.011,-13.34,0.596,7.001,0.021,0.011,-42.343,0.666,7.157,0.058,0.01,-35.87,0.746,8.292,0.011,0.016,-15.772,0.518,8.431,0.007,0.016,-14.26,0.518,5.137,0.017,0.005,-73.905,0.948,0,0,0,0,0,3.762,0.01,0.01,-16.829,0.371,6.168,0.024,0.008,-42.194,0.747,11.378,0.019,0.016,-14.179,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Margin on site,000_000,9/27/2021 18:27,24.8,0,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/27/21 08:54,FALSE,,GD,,Not Done,Not Done,,Not Done,Not Done,,Not Done,100_LVL (old),,,,0,0,Fail,0,0,2.152,2.982,0,3.425,3.931,4.221,4.301,4.358,4.725,-1.683,-3.459,0,1.749,-7.198,0.9,1.35,0.082,0.318,2.152,0.048,0.012,-37.823,0.181,2.298,0.024,0.011,-72.782,0.214,2.982,0.005,0.002,-18.509,1.736,3.079,0.018,0.004,-12.037,0.777,0,0,0,0,0,3.318,0.013,0.007,-70.97,0.45,3.425,0.025,0.018,-20.156,0.195,3.931,0.01,0.015,-16.948,0.265,4.221,0.054,0.007,-139.376,0.625,4.301,0.062,0.008,-66.993,0.527,4.358,0.079,0.01,-41.525,0.458,4.725,0.031,0.008,-42.633,0.593,5.075,0.143,0.009,-60.725,0.576,5.223,0.04,0.009,-29.045,0.552,5.51,0.035,0.008,-51.144,0.699,6,0.008,0.01,-30.405,0.63,6.063,0.045,0.009,-52.052,0.657,6.258,0.032,0.009,-57.574,0.7,6.655,0.017,0.014,-15.334,0.489,7,0.019,0.011,-42.274,0.659,7.155,0.049,0.009,-34.236,0.766,8.29,0.01,0.015,-16.764,0.556,8.429,0.006,0.017,-14.395,0.506,5.137,0.017,0.005,-105.712,0.971,5.702,0.011,0.009,-70.227,0.625,0,0,0,0,0,6.166,0.024,0.009,-41.163,0.697,11.378,0.018,0.015,-15.494,0.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,E0402P_11,0_0,3/29/2022 19:59,21.4,0,QPLog 10-1631 (16) rev8,FALSE,,GD,,,,,,,,,,,,,,,Fail,0,0,2.159,2.978,0,3.421,3.92,4.22,4.3,4.358,4.721,-1.238,-3.785,0,1.51,-7.814,0.854,1.261,0.056,0.052,2.159,0.074,0.014,-29.671,0.155,2.307,0.062,0.01,-56.637,0.233,2.978,0.004,0.008,-17.883,0.385,3.075,0.013,0.013,-19.184,0.242,0,0,0,0,0,3.318,0.014,0.006,-128.248,0.565,3.421,0.005,0.011,-23.886,0.3,3.92,0.005,0.007,-21.753,0.537,4.22,0.008,0.006,-166.45,0.699,4.3,0.014,0.006,-122.736,0.664,4.358,0.127,0.01,-43.26,0.428,4.721,0.009,0.008,-48.288,0.58,5.077,0.024,0.01,-37.503,0.515,5.219,0.081,0.01,-39.603,0.509,5.509,0.099,0.008,-72.571,0.694,6.009,0.018,0.005,-111.13,1.141,6.064,0.023,0.006,-132.78,1.044,6.255,0.007,0.008,-45.771,0.796,6.653,0.003,0.012,-8.689,0.548,6.994,0.003,0.009,-31.759,0.759,7.156,0.022,0.008,-66.962,0.898,8.293,0.041,0.009,-37.431,0.891,8.428,0.026,0.01,-39.022,0.812,5.134,0.002,0.003,-55.562,1.597,5.698,0.015,0.007,-78.666,0.807,0,0,0,0,0,6.16,0.006,0.006,-29.072,1.081,11.367,0.002,0.006,-9.993,1.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,e0402p,0_0,3/29/2022 19:13,21.1,0,QPLog 10-1631 (16) rev8,FALSE,,GD,,,,,,,,,,,,,,,Fail,0,0,2.154,2.975,0,3.421,3.92,4.219,4.299,4.357,4.721,-1.582,-4.017,0,1.531,-7.809,0.816,1.221,-0.022,0.024,2.154,0.043,0.012,-41.083,0.174,2.303,0.04,0.009,-73.676,0.261,2.975,0.003,0.009,-11.788,0.327,3.075,0.012,0.013,-17.342,0.241,0,0,0,0,0,3.318,0.012,0.006,-121.176,0.547,3.421,0.004,0.011,-21.54,0.306,3.92,0.004,0.009,-20.627,0.453,4.219,0.007,0.006,-164.988,0.703,4.299,0.093,0.007,-131.872,0.64,4.357,0.106,0.01,-37.696,0.432,4.721,0.006,0.008,-47.881,0.584,5.077,0.018,0.014,-18.843,0.367,5.221,0.012,0.009,-31.872,0.568,5.508,0.011,0.006,-65.779,0.881,6.009,0.016,0.005,-104.698,1.18,6.063,0.02,0.006,-124.6,1.078,6.255,0.007,0.008,-49.874,0.788,6.651,0.005,0.009,-16.658,0.72,6.995,0.003,0.01,-24.684,0.716,7.156,0.172,0.008,-76.633,0.934,8.294,0.036,0.01,-35.786,0.865,8.428,0.022,0.01,-36.381,0.846,5.133,0.002,0.004,-85.862,1.339,5.698,0.014,0.006,-82.394,0.904,3.76,0.011,0.008,-38.252,0.483,6.16,0.006,0.008,-24.064,0.796,11.367,0.037,0.017,-9.175,0.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,e0402p,0_0,3/29/2022 18:54,20.8,0,QPLog 10-1631 (16) rev8,FALSE,,GD,,,,,,,,,,,,,,,Fail,0,0,2.159,2.978,0,3.421,3.931,4.22,4.299,4.354,4.72,-1.23,-3.812,0,1.51,-7.233,0.836,1.18,-0.157,-0.026,2.159,0.061,0.004,-41.097,0.538,2.298,0.026,0.006,-99.674,0.416,2.978,0.003,0.008,-19.658,0.352,3.081,0.018,0.016,-16.427,0.197,0,0,0,0,0,3.319,0.011,0.006,-129.388,0.571,3.421,0.001,0.009,-12.523,0.392,3.931,0.008,0.002,-11.653,2.208,4.22,0.005,0.006,-148.198,0.697,4.299,0.036,0.005,-58.759,0.829,4.354,0.032,0.006,-70.565,0.711,4.72,0.003,0.006,-26.624,0.846,5.07,0.009,0.009,-59.273,0.579,5.22,0.011,0.009,-46.824,0.596,5.506,0.005,0.006,-52.171,0.857,5.999,0.012,0.006,-99.653,0.936,6.061,0.006,0.005,-159.729,1.223,6.254,0.004,0.007,-46.562,0.875,6.653,0.002,0.01,-14.078,0.682,6.995,0.017,0.009,-46.634,0.754,7.152,0.062,0.006,-80.097,1.157,8.292,0.01,0.012,-18.334,0.702,8.427,0.016,0.009,-51.923,0.965,5.134,0.006,0.004,-173.624,1.159,5.699,0.013,0.007,-98.472,0.787,3.758,0.004,0.008,-16.984,0.475,6.163,0.006,0.008,-39.601,0.73,11.368,0.004,0.003,-6.195,3.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,e0402p,0_0,3/29/2022 19:38,21.3,0,QPLog 10-1631 (16) rev8,FALSE,,GD,,,,,,,,,,,,,,,Fail,0,0,2.156,2.978,0,3.421,3.918,4.219,4.3,4.359,4.722,-1.434,-3.756,0,1.529,-7.887,0.815,1.241,0.114,0.094,2.156,0.048,0.011,-39.903,0.191,2.307,0.055,0.01,-51.586,0.24,2.978,0.004,0.006,-17.19,0.5,3.073,0.011,0.013,-17.852,0.238,0,0,0,0,0,3.318,0.013,0.006,-125.297,0.535,3.421,0.006,0.011,-22.924,0.319,3.918,0.004,0.007,-25.73,0.557,4.219,0.008,0.006,-178.963,0.766,4.3,0.015,0.007,-114.65,0.626,4.359,0.163,0.01,-49.371,0.452,4.722,0.011,0.008,-60.669,0.609,5.076,0.015,0.011,-32.361,0.465,5.218,0.005,0.009,-32.298,0.585,5.51,0.117,0.009,-48.71,0.625,6.009,0.02,0.006,-95.741,1.034,6.064,0.028,0.006,-118.27,1.012,6.255,0.01,0.008,-54.953,0.813,6.675,0.005,0.009,-23.987,0.736,6.996,0.002,0.009,-22.422,0.801,7.157,0.172,0.008,-64.277,0.858,8.293,0.037,0.009,-42.312,0.973,8.428,0.025,0.011,-34.859,0.752,5.139,0.002,0.003,-40.071,1.914,5.7,0.017,0.006,-62.252,0.927,0,0,0,0,0,6.16,0.005,0.006,-52.107,1.079,11.368,0.003,0.004,-6.717,2.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,e0402p,0_0,3/29/2022 19:01,20.9,0,QPLog 10-1631 (16) rev8,FALSE,,GD,,,,,,,,,,,,,,,Fail,0,0,2.157,2.979,0,3.422,3.92,4.22,4.299,4.357,4.721,-1.313,-3.694,0,1.552,-7.782,0.835,1.221,-0.002,0.048,2.157,0.053,0.015,-21.655,0.146,2.304,0.044,0.009,-47.929,0.254,2.979,0.004,0.007,-12.713,0.4,3.075,0.013,0.014,-16.062,0.219,0,0,0,0,0,3.318,0.014,0.006,-125.43,0.557,3.422,0.004,0.013,-20.205,0.27,3.92,0.005,0.011,-22.086,0.346,4.22,0.007,0.006,-165.583,0.755,4.299,0.097,0.007,-131.51,0.636,4.357,0.111,0.01,-43.038,0.456,4.721,0.007,0.007,-53.731,0.635,5.075,0.013,0.009,-30.087,0.545,5.218,0.005,0.01,-26.376,0.54,5.508,0.071,0.008,-63.425,0.68,6,0.017,0.006,-64.866,0.936,6.064,0.022,0.006,-119.424,1.042,6.256,0.009,0.008,-53.894,0.801,6.652,0.002,0.012,-9.452,0.542,6.995,0.003,0.009,-25.485,0.794,7.156,0.187,0.007,-79.892,0.958,8.294,0.037,0.01,-31.711,0.827,8.428,0.024,0.01,-38.179,0.809,5.135,0.002,0.003,-89.326,1.555,5.699,0.019,0.007,-62.612,0.796,0,0,0,0,0,6.162,0.005,0.007,-31.141,0.845,11.37,0.003,0.013,-8.805,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,e0402p,0_0,3/29/2022 19:33,21.2,0,QPLog 10-1631 (16) rev8,FALSE,,GD,,,,,,,,,,,,,,,Fail,0,0,2.164,2.974,0,3.421,3.92,4.219,4.299,4.356,4.72,-0.872,-4.148,0,1.49,-7.793,0.776,1.201,-0.041,-0.05,2.164,0.057,0.017,-8.465,0.13,2.307,0.051,0.013,-28.85,0.177,2.974,0.005,0.003,-6.861,1.084,3.076,0.014,0.016,-18.002,0.19,0,0,0,0,0,3.318,0.014,0.006,-129.476,0.571,3.421,0.004,0.012,-22.586,0.292,3.92,0.005,0.003,-24.66,1.317,4.219,0.007,0.006,-162.621,0.688,4.299,0.011,0.007,-100.182,0.634,4.356,0.102,0.01,-42.063,0.42,4.72,0.006,0.008,-41.743,0.587,5.077,0.019,0.01,-31.68,0.493,5.219,0.052,0.01,-45.548,0.518,5.508,0.056,0.008,-71.136,0.712,5.998,0.016,0.005,-63.381,1.15,6.063,0.021,0.007,-95.786,0.922,6.255,0.008,0.008,-44.092,0.757,6.654,0.003,0.011,-11.634,0.599,6.995,0.002,0.009,-24.347,0.771,7.156,0.181,0.008,-76.538,0.934,8.294,0.036,0.01,-32.714,0.825,8.428,0.022,0.01,-36.728,0.865,5.134,0.002,0.003,-84.916,1.476,5.698,0.016,0.006,-50.789,0.907,0,0,0,0,0,6.162,0.005,0.007,-38.484,0.875,11.368,0.004,0.011,-9.486,1.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
