Record Name,PRJ Type,Usage,Lib Type,Pti-State,LB Pti-State,Stack group,Date_Time,Visual,LPI,EC,Dimensional,MfgMonth,MfgYear_YY,Fail Reason,Tracker Result,SubGroup,Failure Type,intSite,iPTI,Picked,Critical Defect,NDT_Comment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
D0138,GD,D,GD,2,2,,5/5/2022 21:36,0,0,0,0,11,2018,none,1,4,4,2,0,0,3,,2.195,2.323,3.026,3.144,3.175,3.316,3.414,4.09,4.206,4.283,4.372,4.731,5.09,5.224,5.541,6.018,6.073,6.272,6.671,6.996,7.184,8.327,8.442,5.127,5.701,3.761,6.171,11.394
D0522,GD,D,B3,2,2,,5/16/2022 22:10,0,0,0,0,3,2019,none,1,4,4,2,0,0,3,,2.199,2.311,3.018,3.134,3.172,3.315,3.411,4.091,4.198,4.302,4.371,4.744,5.093,5.211,5.548,5.999,6.073,6.263,6.648,6.973,7.207,8.344,8.416,5.121,5.702,3.761,6.159,11.384
2798,UN,D,B3,2,2,,5/23/2022 22:15,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.185,2.301,3.033,3.14,3.164,3.335,3.397,4.073,4.227,4.302,4.394,4.744,5.079,5.21,5.54,6.01,6.087,6.266,6.649,6.964,7.176,8.32,8.406,5.14,5.713,3.77,6.156,11.417
2798,UN,D,GD,2,2,,5/25/2022 1:15,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.182,2.33,3.032,3.139,3.163,3.334,3.396,4.074,4.227,4.301,4.393,4.743,5.076,5.209,5.54,6.009,6.086,6.267,6.649,6.964,7.175,8.319,8.406,5.14,5.715,3.771,6.156,11.418
4282,UN,D,UN,2,0,,6/18/2022 17:35,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.181,2.316,3.006,3.121,3.155,3.318,3.392,4.07,4.202,4.281,4.358,4.728,5.064,5.197,5.528,5.995,6.052,6.252,6.629,6.923,7.171,8.316,8.387,5.111,5.699,3.754,6.141,11.35
4291,UN,D,GD,2,2,,5/24/2022 0:10,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.17,2.297,3.006,3.124,3.143,3.311,3.38,4.049,4.199,4.257,4.335,4.699,5.044,5.177,5.504,5.983,6.041,6.236,6.618,6.937,7.141,8.275,8.374,5.116,5.69,3.746,6.124,11.318
4292,UN,D,UN,2,0,,6/25/2022 17:53,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.157,2.301,3.023,3.124,3.158,3.319,3.373,4.04,4.202,4.258,4.348,4.7,5.044,5.18,5.507,5.975,6.057,6.238,6.626,6.952,7.142,8.275,8.382,5.114,5.694,3.752,6.131,11.342
4310,UN,D,UN,2,0,,6/15/2022 21:05,2,2,2,2,0,0,,0,0,0,2,0,0,0,,2.129,2.303,3.018,3.125,3.153,3.301,3.373,4.036,4.18,4.248,4.33,4.695,5.037,5.162,5.5,5.974,6.029,6.229,6.609,6.953,7.141,8.276,8.373,5.087,5.682,3.747,6.112,11.317
4315,UN,D,UN,2,0,,6/17/2022 21:26,2,2,2,2,0,0,,0,0,0,2,0,0,0,,2.178,2.311,3.019,3.13,3.141,3.314,3.378,4.043,4.195,4.258,4.34,4.704,5.051,5.177,5.514,5.977,6.048,6.238,6.622,6.938,7.157,8.292,8.385,5.107,5.69,3.752,6.128,11.347
5394,GD,D,UN,2,0,,6/24/2022 21:59,0,0,0,0,2,2014,none,1,4,4,2,0,0,3,,2.19,2.309,3.023,3.138,3.159,3.322,3.393,4.068,4.214,4.273,4.349,4.714,5.063,5.198,5.525,6.0,6.061,6.253,6.643,6.959,7.159,8.297,8.415,5.126,5.703,3.76,6.146,11.366
5482,UN,D,B3,2,2,,5/24/2022 17:10,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.183,2.305,2.995,3.116,3.154,3.319,3.391,4.065,4.207,4.28,4.362,4.719,5.059,5.196,5.514,5.99,6.068,6.247,6.605,6.931,7.157,8.286,8.359,5.119,5.699,3.739,6.13,11.348
5482,UN,D,B3,2,2,,5/23/2022 21:53,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.19,2.308,2.997,3.116,3.154,3.32,3.392,4.065,4.207,4.28,4.362,4.718,5.059,5.197,5.514,5.99,6.068,6.247,6.604,6.93,7.157,8.284,8.358,5.119,5.7,3.743,6.13,11.349
5482,UN,D,GD,2,2,,5/25/2022 0:34,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.19,2.313,2.995,3.115,3.153,3.32,3.392,4.065,4.207,4.28,4.361,4.717,5.057,5.195,5.514,5.99,6.067,6.247,6.605,6.93,7.155,8.287,8.358,5.118,5.701,3.742,6.134,11.345
6149,GD,D,B3,2,2,,6/11/2022 20:05,0,0,0,0,4,2015,none,1,4,4,2,0,0,3,,2.188,2.313,3.027,3.139,3.157,3.311,3.395,4.059,4.187,4.274,4.356,4.713,5.058,5.196,5.52,5.987,6.058,6.261,6.65,6.989,7.169,8.311,8.421,5.104,5.696,3.76,6.133,11.373
6230,UN,D,UN,2,0,,6/18/2022 16:48,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.181,2.313,3.037,3.138,3.156,3.348,3.39,4.07,4.253,4.295,4.39,4.73,5.095,5.229,5.552,6.015,6.123,6.256,6.656,7.041,7.204,8.34,8.413,5.172,5.706,3.775,6.177,11.453
6407,UN,D,B3,2,2,,6/10/2022 22:25,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.185,2.318,3.045,3.148,3.178,3.337,3.405,4.088,4.236,4.306,4.389,4.747,5.101,5.225,5.57,6.042,6.099,6.311,6.694,6.988,7.215,8.367,8.443,5.154,5.721,3.783,6.161,11.455
6407,UN,D,B3,2,2,,6/5/2022 20:10,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.2,2.317,3.041,3.146,3.178,3.331,3.4,4.082,4.227,4.299,4.381,4.741,5.093,5.215,5.561,6.032,6.088,6.301,6.685,6.974,7.201,8.351,8.429,5.145,5.708,3.775,6.151,11.436
6529P,GD,D,B3,2,2,,6/3/2022 19:08,0,0,0,0,8,2015,none,1,4,4,2,0,0,3,,2.191,2.321,3.04,3.152,3.175,3.344,3.407,4.09,4.252,4.306,4.386,4.742,5.104,5.236,5.562,6.048,6.115,6.281,6.679,7.011,7.2,8.345,8.446,5.175,5.714,3.782,6.185,11.455
8036,UN,D,GD,2,2,,5/22/2022 20:33,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.199,2.307,3.023,3.14,3.172,3.315,3.412,4.084,4.204,4.284,4.355,4.723,5.076,5.214,5.538,6.013,6.074,6.273,6.659,6.967,7.18,8.314,8.424,5.126,5.71,3.757,6.166,11.398
8036,UN,D,GD,2,2,,5/22/2022 22:04,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.198,2.307,3.022,3.14,3.173,3.316,3.413,4.085,4.205,4.284,4.355,4.723,5.076,5.213,5.539,6.013,6.075,6.273,6.659,6.968,7.179,8.313,8.425,5.126,5.71,3.759,6.166,11.398
8036,UN,D,GD,2,2,,5/23/2022 16:30,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.198,2.307,3.024,3.14,3.172,3.314,3.412,4.083,4.204,4.284,4.353,4.722,5.075,5.212,5.537,6.013,6.074,6.272,6.659,6.966,7.178,8.311,8.423,5.125,5.71,3.757,6.165,11.396
9015,GD,D,B3,2,2,,6/11/2022 20:50,0,0,0,0,8,2018,none,1,4,4,2,0,0,3,,2.192,2.321,3.031,3.155,3.185,3.324,3.426,4.1,4.222,4.314,4.38,4.744,5.108,5.239,5.572,6.044,6.093,6.293,6.697,6.986,7.206,8.352,8.475,5.148,5.717,3.78,6.187,11.447
9065,UN,D,UN,2,0,,6/22/2022 15:27,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.194,2.308,3.022,3.139,3.18,3.322,3.421,4.104,4.215,4.307,4.386,4.747,5.097,5.234,5.551,6.026,6.091,6.283,6.666,6.965,7.199,8.346,8.427,5.142,5.711,3.761,6.177,11.441
B0276,UN,D,GD,2,2,,6/5/2022 15:13,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.201,2.308,3.024,3.148,3.192,3.316,3.431,4.107,4.21,4.298,4.345,4.733,5.072,5.24,5.536,5.998,6.075,6.289,6.695,7.008,7.161,8.302,8.457,5.127,5.704,3.761,6.18,11.397
D0088,UN,D,UN,2,0,,6/18/2022 17:47,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.193,2.305,3.036,3.149,3.18,3.312,3.416,4.085,4.2,4.281,4.349,4.718,5.06,5.218,5.525,5.993,6.066,6.28,6.686,7.013,7.153,8.287,8.456,5.117,5.688,3.764,6.166,11.374
4102P,GD,D,UN,2,0,,7/18/2022 16:02,0,2,0,2,11,2001,none,1,4,4,1,0,0,3,,2.181,2.297,3.035,3.139,3.172,3.312,3.396,4.069,4.196,4.278,4.364,4.733,5.06,5.189,5.532,5.988,6.046,6.257,6.641,6.967,7.156,8.296,8.403,5.105,5.7,3.764,6.14,11.368
4102P,GD,D,UN,2,0,,7/18/2022 15:39,0,2,0,2,11,2001,none,1,4,4,1,0,0,3,,2.18,2.295,3.021,3.128,3.162,3.31,3.393,4.07,4.194,4.276,4.345,4.725,5.062,5.191,5.526,5.989,6.051,6.248,6.635,6.967,7.168,8.309,8.391,5.119,5.697,3.752,6.142,11.377
4730,GD,D,UN,2,0,,6/30/2022 19:44,0,2,0,0,11,2012,none,1,4,4,2,0,0,3,,2.181,2.313,3.023,3.132,3.159,3.322,3.391,4.065,4.212,4.277,4.357,4.722,5.07,5.196,5.528,5.999,6.062,6.247,6.637,6.95,7.17,8.311,8.402,5.125,5.699,3.758,6.145,11.368
6144,GD,D,UN,2,0,,7/6/2022 21:48,0,2,0,0,4,2015,none,1,4,4,2,0,0,3,,2.192,2.314,3.026,3.141,3.165,3.311,3.398,4.064,4.19,4.269,4.341,4.715,5.062,5.196,5.524,5.986,6.049,6.256,6.644,6.986,7.17,8.312,8.421,5.116,5.697,3.763,6.138,11.359
6221,GD,D,UN,2,0,,7/9/2022 0:53,0,0,0,0,0,0,none,1,4,4,3,0,0,3,,2.18,2.309,3.009,3.125,3.154,3.337,3.391,4.072,4.238,4.288,4.374,4.722,5.079,5.214,5.534,6.007,6.102,6.247,6.632,6.953,7.174,8.316,8.392,5.157,5.704,3.755,6.156,11.374
8077,GD,D,UN,2,0,,7/18/2022 16:21,0,2,0,2,8,2017,none,1,4,4,1,0,0,3,,2.179,2.295,3.032,3.139,3.163,3.313,3.399,4.072,4.205,4.28,4.348,4.723,5.067,5.199,5.54,6.0,6.068,6.257,6.653,6.954,7.176,8.314,8.416,5.121,5.704,3.758,6.157,11.411
1051,GD,D,UN,2,0,,8/23/2022 17:38,0,2,0,2,2,2000,none,1,4,4,1,0,0,3,,2.17,2.301,3.0,3.119,3.148,3.333,3.361,4.053,4.236,4.273,4.377,4.728,5.056,5.195,5.511,5.986,6.067,6.24,6.608,6.929,7.165,8.291,8.357,5.133,5.702,3.754,6.136,11.351
2546,GD,D,UN,2,0,,8/1/2022 18:46,0,2,0,2,3,2005,none,1,4,4,1,0,0,3,,2.162,2.295,3.03,3.123,3.169,3.322,3.367,4.035,4.206,4.259,4.365,4.709,5.037,5.166,5.505,5.96,6.042,6.232,6.622,6.965,7.128,8.266,8.37,5.109,5.69,3.756,6.116,11.341
4237,GD,D,UN,2,0,,8/15/2022 16:16,0,2,0,2,10,2011,none,1,4,4,1,0,0,3,,2.171,2.289,3.014,3.128,3.157,3.308,3.388,4.061,4.193,4.266,4.337,4.708,5.046,5.187,5.511,5.983,6.047,6.247,6.636,6.966,7.146,8.282,8.389,5.105,5.695,3.745,6.138,11.349
4268,GD,D,UN,2,0,,8/16/2022 1:56,0,2,0,0,1,2012,none,1,4,4,2,0,0,3,,2.185,2.313,3.014,3.126,3.158,3.313,3.395,4.072,4.193,4.282,4.369,4.734,5.062,5.207,5.523,5.986,6.061,6.263,6.638,6.918,7.177,8.314,8.399,5.121,5.69,3.759,6.148,11.364
9083,GD,D,UN,2,0,,8/11/2022 20:17,0,2,0,2,9,2018,none,1,4,4,1,0,0,3,,2.173,2.293,3.025,3.135,3.163,3.319,3.397,4.079,4.213,4.294,4.375,4.735,5.084,5.211,5.547,6.014,6.078,6.259,6.649,6.96,7.183,8.322,8.404,5.135,5.704,3.759,6.159,11.416
B0068,GD,D,UN,2,0,,8/4/2022 15:27,0,2,0,2,6,2019,none,1,4,4,1,0,0,3,,2.189,2.297,3.032,3.152,3.186,3.309,3.423,4.099,4.199,4.293,4.351,4.715,5.064,5.228,5.531,5.988,6.067,6.283,6.707,7.02,7.153,8.29,8.467,5.117,5.703,3.764,6.175,11.393
D0631,GD,D,UN,2,0,,8/18/2022 17:26,0,2,0,2,0,0,none,1,4,4,3,0,0,3,,2.189,2.302,3.023,3.15,3.166,3.309,3.406,4.069,4.19,4.268,4.331,4.694,5.048,5.204,5.519,5.988,6.052,6.267,6.679,7.02,7.15,8.279,8.455,5.11,5.696,3.76,6.16,11.355
4308,GD,D,UN,2,0,,8/31/2022 15:58,0,2,0,2,2,2012,none,1,4,4,1,0,0,3,,2.174,2.291,3.02,3.131,3.159,3.312,3.387,4.061,4.197,4.264,4.344,4.706,5.044,5.186,5.511,5.985,6.048,6.248,6.632,6.972,7.147,8.281,8.395,5.109,5.7,3.753,6.137,11.349
3171,GD,D,GD,2,2,,11/5/2022 0:06,0,2,0,0,8,2007,none,1,4,4,2,0,0,3,,2.167,2.295,3.004,3.128,3.161,3.313,3.402,4.072,4.201,4.278,4.357,4.717,5.051,5.2,5.505,5.981,6.054,6.262,6.642,6.968,7.137,8.266,8.4,5.114,5.698,3.749,6.14,11.328
6147,GD,D,GD,2,2,,11/12/2022 0:50,0,2,0,0,4,2015,none,1,4,4,2,0,0,3,,2.163,2.3,3.031,3.138,3.169,3.309,3.393,4.06,4.189,4.265,4.339,4.712,5.05,5.191,5.519,5.98,6.043,6.256,6.649,6.992,7.162,8.304,8.421,5.114,5.694,3.762,6.134,11.362
6551,GD,D,UN,2,0,,11/22/2022 20:23,0,2,0,2,12,2015,none,1,4,4,1,0,0,3,,2.163,2.289,3.019,3.119,3.152,3.315,3.37,4.038,4.197,4.256,4.336,4.714,5.044,5.177,5.512,5.976,6.036,6.233,6.609,6.917,7.144,8.285,8.369,5.1,5.687,3.754,6.119,11.322
4289,GD,D,GD,2,2,,12/22/2022 1:30,0,2,0,0,2,2012,none,1,4,4,2,0,0,3,,2.163,2.293,3.014,3.13,3.159,3.311,3.381,4.049,4.198,4.259,4.338,4.7,5.042,5.18,5.507,5.986,6.045,6.242,6.63,6.938,7.141,8.275,8.39,5.106,5.695,3.754,6.115,11.333
8060,GD,D,GD,2,2,,12/27/2022 20:51,0,2,0,2,8,2017,none,1,4,4,11,0,0,3,,2.186,2.311,3.018,3.131,3.166,3.314,3.404,4.078,4.2,4.293,4.367,4.737,5.076,5.206,5.54,6.0,6.074,6.264,6.638,6.949,7.19,8.33,8.405,5.131,5.704,3.754,6.151,11.425
8063,GD,D,GD,2,2,,12/7/2022 23:44,0,2,0,2,8,2017,none,1,4,4,11,0,0,3,,2.185,2.311,3.016,3.128,3.16,3.322,3.396,4.072,4.221,4.285,4.357,4.717,5.072,5.201,5.525,6.005,6.071,6.251,6.631,6.975,7.161,8.292,8.389,5.137,5.706,3.749,6.144,11.373
e0632,GD,D,GD,2,2,,12/7/2022 22:03,0,2,0,2,2,2020,none,1,4,4,11,0,0,3,,2.183,2.289,3.027,3.138,3.161,3.313,3.405,4.068,4.198,4.28,4.355,4.718,5.068,5.203,5.526,5.991,6.061,6.267,6.652,6.991,7.168,8.309,8.429,5.128,5.702,3.758,6.149,11.374
e0632,GD,D,GD,2,2,,12/7/2022 21:25,0,2,0,2,2,2020,none,1,4,4,11,0,0,3,,2.181,2.297,2.999,3.127,3.168,3.316,3.406,4.081,4.211,4.28,4.338,4.699,5.047,5.21,5.498,5.974,6.051,6.247,6.643,6.96,7.121,8.247,8.392,5.127,5.684,3.743,6.142,11.312
4299,GD,D,GD,2,2,,1/7/2023 17:52,0,2,0,0,2,2012,none,1,4,4,2,0,0,3,,2.174,2.3,2.997,3.124,3.16,3.31,3.399,4.064,4.19,4.272,4.345,4.711,5.048,5.192,5.507,5.978,6.045,6.257,6.631,6.961,7.145,8.28,8.395,5.115,5.701,3.745,6.135,11.322
2247,GD,D,GD,2,2,,2/18/2023 3:25,0,2,0,0,1,2003,none,1,4,4,2,0,0,3,,2.216,2.304,3.018,3.124,3.149,3.338,3.379,4.06,4.244,4.285,4.384,4.731,5.088,5.25,5.55,6.04,6.085,6.247,6.632,6.958,7.191,8.303,8.385,5.152,5.707,3.753,6.111,11.413
4258,GD,D,GD,2,2,,1/20/2023 18:52,0,2,0,2,0,0,none,1,4,4,3,0,0,3,,2.176,2.304,3.004,3.124,3.158,3.321,3.399,4.076,4.205,4.292,4.376,4.732,5.07,5.207,5.531,5.991,6.064,6.261,6.636,6.961,7.174,8.297,8.39,5.116,5.707,3.752,6.153,11.375
5482,B3,D,B3,2,2,,2/24/2023 21:34,0,2,0,0,4,2014,none,1,4,4,2,0,0,3,,2.162,2.288,2.994,3.114,3.154,3.32,3.39,4.064,4.207,4.279,4.363,4.716,5.059,5.223,5.513,5.997,6.068,6.245,6.601,6.921,7.154,8.297,8.355,5.119,5.7,3.743,6.122,11.34
5482,GD,D,GD,2,2,,2/24/2023 21:47,0,2,0,0,4,2014,none,1,4,4,2,0,0,3,,2.164,2.301,2.995,3.114,3.154,3.319,3.39,4.065,4.208,4.28,4.363,4.717,5.059,5.224,5.514,5.997,6.068,6.245,6.614,6.92,7.154,8.297,8.355,5.121,5.699,3.743,6.123,11.349
6146,GD,D,GD,2,2,,2/10/2023 22:43,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.185,2.308,3.028,3.141,0.0,3.318,3.4,4.07,4.201,4.275,4.352,4.72,5.064,5.199,5.529,5.997,6.056,6.262,6.651,6.996,7.175,8.32,8.429,5.114,5.716,3.766,6.145,11.372
6148,GD,D,GD,2,2,,1/19/2023 20:27,0,2,0,2,0,0,none,1,4,4,3,0,0,3,,2.184,2.306,3.026,3.136,0.0,3.314,3.397,4.064,4.194,4.275,4.354,4.716,5.058,5.198,5.522,5.989,6.058,6.263,6.655,6.992,7.171,8.316,8.421,5.121,5.7,3.755,6.156,11.377
6200,B3,D,B3,2,2,,2/16/2023 18:25,0,2,0,0,5,2015,none,1,4,4,3,0,0,3,,2.168,2.291,3.016,3.129,3.159,3.329,3.386,4.057,4.219,4.279,4.335,4.72,5.068,5.196,5.528,5.994,6.075,6.247,6.628,6.98,7.17,8.314,8.39,5.132,5.702,3.749,6.142,11.369
6200,GD,D,GD,2,2,,2/16/2023 18:46,0,2,0,0,5,2015,none,1,4,4,3,0,0,3,,2.181,2.317,3.015,3.128,0.0,3.328,3.385,4.056,4.218,4.278,4.37,4.719,5.068,5.194,5.526,5.992,6.074,6.246,6.627,6.957,7.168,8.312,8.388,5.13,5.699,3.748,6.141,11.366
6549,B3,D,B3,2,2,,2/1/2023 15:51,0,2,0,2,12,2015,none,1,4,4,11,0,0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6549,GD,D,GD,2,2,,2/1/2023 15:57,0,2,0,2,12,2015,none,1,4,4,11,0,0,3,,2.162,2.3,3.009,3.116,3.132,3.32,3.37,4.035,4.206,4.261,4.359,4.706,5.053,5.175,5.511,5.974,6.055,6.237,6.608,6.942,7.148,8.286,8.369,5.118,5.688,3.75,6.127,11.329
B0044,B3,D,B3,2,2,,2/14/2023 19:27,0,0,0,0,6,2019,none,1,4,4,2,0,0,3,,2.19,2.362,3.059,3.163,3.195,3.326,3.427,4.105,4.22,4.304,4.367,4.733,5.087,5.165,5.55,0.0,6.075,6.29,6.715,7.049,7.187,0.0,8.347,5.142,5.723,3.787,6.21,11.428
B0044,B3,D,B3,2,2,,2/14/2023 19:49,0,0,0,0,6,2019,none,1,4,4,2,0,0,3,,2.203,2.311,3.056,3.162,3.194,3.326,3.428,4.105,4.22,4.305,4.366,4.734,5.085,5.312,5.552,6.021,6.076,6.29,6.715,7.048,7.186,8.331,8.493,5.14,5.722,3.786,6.212,11.429
B0044,B3,D,B3,2,2,,2/14/2023 19:38,0,0,0,0,6,2019,none,1,4,4,2,0,0,3,,2.201,2.329,3.056,3.163,3.194,3.326,3.427,4.105,4.22,4.304,4.359,4.733,5.086,5.312,5.569,0.0,6.076,6.29,6.715,7.049,7.187,8.332,8.441,5.14,5.722,3.786,6.211,11.429
D0466,B3,D,B3,2,2,,3/1/2023 5:07,0,2,0,0,3,2019,none,1,4,4,2,0,0,3,,2.164,2.285,3.041,3.149,3.182,3.333,3.415,4.095,4.235,4.311,4.393,4.741,5.102,5.284,5.557,6.018,6.11,6.279,6.681,7.0,7.193,8.321,8.449,5.164,5.716,3.78,6.181,11.425
D0466,B3,D,B3,2,2,,3/1/2023 4:55,0,2,0,0,3,2019,none,1,4,4,2,0,0,3,,2.186,2.316,3.041,3.148,3.181,3.331,3.415,4.095,4.234,4.337,4.36,4.721,5.101,5.283,5.57,6.042,6.109,6.279,6.681,7.0,7.194,8.32,8.336,5.164,0.0,3.778,6.19,11.423
2386,GD,D,GD,2,2,,3/17/2023 15:20,0,2,0,2,11,2003,none,1,4,4,11,0,0,3,,2.158,2.309,3.033,3.13,3.143,3.327,3.375,4.052,4.226,4.269,4.354,4.727,5.066,5.182,5.532,6.018,6.056,6.233,6.62,6.947,7.176,0.0,8.372,5.131,5.696,3.76,6.138,0.0
2798,GD,D,GD,2,2,,5/8/2023 19:51,0,2,0,0,4,2006,none,1,4,4,4,0,0,3,,2.172,2.3,3.03,3.139,3.158,3.333,3.398,4.071,4.228,4.272,4.399,4.746,5.083,5.208,5.541,6.011,6.09,6.266,6.646,6.965,7.178,8.318,8.404,5.142,5.71,3.769,6.154,11.402
3761,GD,D,GD,2,2,,3/10/2023 16:42,2,2,2,2,0,0,,0,0,0,11,0,0,0,,2.174,2.301,3.03,3.129,3.159,3.317,3.381,4.047,4.205,4.266,4.35,4.712,5.056,5.18,5.522,5.983,6.06,6.239,6.629,6.945,7.167,8.309,8.389,5.116,5.695,3.756,6.134,11.381
