DB Index,Part Name,Batch Name,Log Date,Temp,PTI State,Comment,Ref,VIPR Code/Note,Part Class,Critical Defect,Dimensional,EC,Failure Type,LPI,Picked,SubGroup,Visual,intSite,Fail Reason,NDT_Comment,Tracker Result,MfgMonth,MfgYear (YY),Result,MTS,Bias,%Error,Freq 2,Freq 3,Freq 6,Freq 7,Freq 8,Freq 11,Freq 14,Freq 15,Freq 18,Freq 21,Freq 26,Freq 1,Amp 1,ZW 1,D2 1,Q 1,Freq 2,Amp 2,ZW 2,D2 2,Q 2,Freq 3,Amp 3,ZW 3,D2 3,Q 3,Freq 4,Amp 4,ZW 4,D2 4,Q 4,Freq 5,Amp 5,ZW 5,D2 5,Q 5,Freq 6,Amp 6,ZW 6,D2 6,Q 6,Freq 7,Amp 7,ZW 7,D2 7,Q 7,Freq 8,Amp 8,ZW 8,D2 8,Q 8,Freq 9,Amp 9,ZW 9,D2 9,Q 9,Freq 10,Amp 10,ZW 10,D2 10,Q 10,Freq 11,Amp 11,ZW 11,D2 11,Q 11,Freq 12,Amp 12,ZW 12,D2 12,Q 12,Freq 13,Amp 13,ZW 13,D2 13,Q 13,Freq 14,Amp 14,ZW 14,D2 14,Q 14,Freq 15,Amp 15,ZW 15,D2 15,Q 15,Freq 16,Amp 16,ZW 16,D2 16,Q 16,Freq 17,Amp 17,ZW 17,D2 17,Q 17,Freq 18,Amp 18,ZW 18,D2 18,Q 18,Freq 19,Amp 19,ZW 19,D2 19,Q 19,Freq 20,Amp 20,ZW 20,D2 20,Q 20,Freq 21,Amp 21,ZW 21,D2 21,Q 21,Freq 22,Amp 22,ZW 22,D2 22,Q 22,Freq 23,Amp 23,ZW 23,D2 23,Q 23,Freq 24,Amp 24,ZW 24,D2 24,Q 24,Freq 25,Amp 25,ZW 25,D2 25,Q 25,Freq 26,Amp 26,ZW 26,D2 26,Q 26,Freq 27,Amp 27,ZW 27,D2 27,Q 27,Freq 28,Amp 28,ZW 28,D2 28,Q 28,,,,,,,,,,,
77,2386,45404810_86833,3/17/2023 15:20,23.1,2,QPLog 10-1631 (16) rev16,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,110_LVL (new),none,,,11,2003,Pass,0,0,,2.309,3.033,3.327,3.375,4.052,4.354,5.182,5.532,6.233,7.176,3.76,0.603,1.002,1,-1.249,-0.834,-0.157,-0.91,0.279,-1.106,0.523,0.27,2.158,0.259,0.003,-10.234,0.617,2.309,0.286,0.009,-22.716,0.262,3.033,0.148,0.007,-72.742,0.428,3.13,0.33,0.006,-135.718,0.497,3.143,0.204,0.007,-50.908,0.459,3.327,0.147,0.007,-94.203,0.459,3.375,0.036,0.008,-68.608,0.446,4.052,0.145,0.007,-83.747,0.61,4.226,0.059,0.005,-218.804,0.797,4.269,0.063,0.004,-205.695,1.155,4.354,0.093,0.006,-145.494,0.781,4.727,0.076,0.007,-124.146,0.683,5.066,0.087,0.008,-85.163,0.638,5.182,0.08,0.007,-117.208,0.795,5.532,0.05,0.005,-158,1.029,6.018,0.063,0.005,-93.381,1.207,6.056,0.036,0.006,-124.132,1.059,6.233,0.053,0.007,-91.573,0.844,6.62,0.031,0.007,-82.894,0.915,6.947,0.003,0.009,-49.955,0.808,7.176,0.101,0.007,-92.619,1.015,0,0,0,0,0,8.372,0.052,0.009,-65.835,0.968,5.131,0.106,0.005,-188.192,0.983,5.696,0.008,0.005,-139.675,1.257,3.76,0.148,0.004,-64.285,0.923,6.138,0.058,0.007,-88.342,0.899,0,0,0,0,0
78,2798,45523806_1450,5/8/2023 19:51,23.4,2,QPLog 10-1631 (16) rev18,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,4,2006,Pass,0,0,,2.3,3.03,3.333,3.398,4.071,4.399,5.208,5.541,6.266,7.178,3.769,-0.33,0.766,1.619,0.156,0.162,2.433,0.389,0.788,0.301,0.627,1.277,2.172,0.038,0.004,-59.566,0.51,2.3,0.075,0.005,-33.564,0.497,3.03,0.173,0.006,-57.426,0.478,3.139,0.275,0.007,-119.696,0.45,3.158,0.05,0.007,-172.603,0.445,3.333,0.134,0.01,-113.587,0.325,3.398,0.12,0.007,-66.184,0.493,4.071,0.066,0.005,-180.333,0.803,4.228,0.111,0.005,-220.805,0.795,4.272,0.04,0.006,-176.802,0.699,4.399,0.197,0.008,-93.238,0.576,4.746,0.119,0.009,-71.821,0.516,5.083,0.168,0.012,-40.29,0.438,5.208,0.113,0.006,-70.296,0.869,5.541,0.099,0.006,-135.253,0.957,6.011,0.037,0.005,-68.128,1.176,6.09,0.143,0.006,-144.074,1.03,6.266,0.129,0.006,-135.718,1.064,6.646,0.025,0.008,-78.304,0.844,6.965,0.016,0.003,-9.618,2.301,7.178,0.176,0.008,-64.672,0.903,8.318,0.036,0.011,-38.424,0.771,8.404,0.027,0.009,-35.66,0.982,5.142,0.044,0.006,-123.718,0.882,5.71,0.01,0.008,-107.206,0.758,3.769,0.131,0.007,-79.145,0.544,6.154,0.034,0.005,-117.157,1.296,11.402,0.007,0.002,-6.855,7.119
79,3761,45394045_86833,3/10/2023 16:42,23.3,2,QPLog 10-1631 (16) rev15,FALSE,,GD,,,,,,Pass,,,110_LVL (new),,,,,,Pass,0,0,,2.301,3.03,3.317,3.381,4.047,4.35,5.18,5.522,6.239,7.167,3.756,-0.186,0.766,-0.03,-0.889,-1.106,-0.388,-1.034,-0.291,-0.873,0.099,-0.13,2.174,0.275,0.005,-29.779,0.426,2.301,0.293,0.012,-49.2,0.191,3.03,0.089,0.012,-51.56,0.25,3.129,0.241,0.008,-90.002,0.374,3.159,0.02,0.003,-186.105,0.99,3.317,0.142,0.006,-158.731,0.577,3.381,0.054,0.012,-46.437,0.291,4.047,0.075,0.006,-118.18,0.631,4.205,0.061,0.007,-217.013,0.604,4.266,0.124,0.006,-187.178,0.734,4.35,0.112,0.006,-116.067,0.684,4.712,0.089,0.007,-96.368,0.693,5.056,0.16,0.009,-69.302,0.595,5.18,0.093,0.006,-109.245,0.821,5.522,0.045,0.005,-194.363,1.094,5.983,0.04,0.006,-116.94,1.055,6.059,0.082,0.005,-166.638,1.142,6.239,0.061,0.008,-69.604,0.764,6.629,0.022,0.005,-91.232,1.213,6.945,0.013,0.005,-68.72,1.298,7.167,0.142,0.005,-70.846,1.326,8.309,0.023,0.006,-33.321,1.301,8.389,0.035,0.009,-42.67,0.896,5.116,0.068,0.006,-168.354,0.845,5.695,0.008,0.004,-105.22,1.275,3.756,0.119,0.006,-58.696,0.61,6.134,0.028,0.007,-62.672,0.838,11.381,0.002,0.009,-20.018,1.258
80,3761,45394045_86833,3/10/2023 17:04,23.4,2,QPLog 10-1631 (16) rev15,FALSE,,GD,,,,,,Pass,,,110_LVL (new),,,,,,Pass,0,0,,2.306,3.025,3.322,3.404,4.087,4.376,5.215,5.541,6.272,7.177,3.769,0.322,0.323,0.451,0.531,1.014,1.086,0.728,0.824,0.589,0.584,1.235,2.186,0.259,0.007,-28.83,0.331,2.306,0.296,0.01,-36.422,0.225,3.025,0.118,0.009,-43.176,0.327,3.139,0.203,0.006,-164.29,0.521,3.171,0.189,0.009,-64.803,0.363,3.322,0.145,0.007,-117.71,0.501,3.404,0.051,0.011,-44.915,0.319,4.087,0.082,0.006,-124.898,0.708,4.216,0.056,0.006,-194.049,0.757,4.3,0.102,0.008,-92.006,0.52,4.376,0.115,0.006,-112.965,0.703,4.736,0.095,0.006,-106.281,0.729,5.08,0.172,0.01,-64.064,0.508,5.215,0.092,0.009,-69.757,0.612,5.541,0.04,0.005,-129.545,1.195,6.009,0.104,0.006,-137.629,0.981,6.072,0.095,0.006,-117.902,0.994,6.272,0.063,0.007,-77.267,0.922,6.662,0.018,0.008,-44.446,0.838,6.992,0.025,0.009,-56.65,0.811,7.177,0.146,0.008,-79.723,0.949,8.319,0.024,0.01,-37.12,0.797,8.431,0.034,0.009,-56.498,0.945,5.132,0.046,0.006,-180.145,0.904,0,0,0,0,0,3.769,0.11,0.007,-59.873,0.514,6.16,0.007,0.005,-65.841,1.251,11.397,0.002,0.005,-29.049,2.205
81,3761,45394045_86833,3/10/2023 17:10,23.4,2,QPLog 10-1631 (16) rev15,FALSE,,GD,,,,,,Pass,,,110_LVL (new),,,,,,Pass,0,0,,2.306,3.025,3.321,3.404,4.086,4.376,5.213,5.541,6.272,7.176,3.768,0.322,0.305,0.382,0.533,0.933,1.084,0.6,0.83,0.575,0.541,1.148,2.184,0.235,0.011,-28.015,0.193,2.306,0.302,0.012,-39.954,0.197,3.025,0.104,0.007,-82.472,0.449,3.138,0.173,0.006,-162.698,0.509,3.169,0.15,0.006,-103.726,0.494,3.321,0.114,0.006,-126.797,0.537,3.404,0.054,0.011,-46.22,0.318,4.086,0.05,0.007,-166.122,0.579,4.215,0.049,0.006,-183.98,0.653,4.3,0.108,0.008,-95.352,0.522,4.376,0.124,0.006,-114.076,0.743,4.736,0.088,0.006,-107.984,0.743,5.081,0.179,0.01,-63.327,0.528,5.213,0.076,0.007,-74.731,0.72,5.541,0.048,0.005,-189.648,1.094,6.008,0.093,0.006,-128.469,0.988,6.072,0.096,0.006,-111.497,1.011,6.272,0.069,0.007,-82.006,0.895,6.662,0.016,0.007,-47.687,0.932,6.992,0.023,0.009,-57.815,0.81,7.176,0.132,0.008,-73.369,0.911,8.32,0.027,0.01,-41.414,0.869,8.431,0.035,0.009,-58.078,0.927,5.13,0.036,0.004,-250.66,1.352,0,0,0,0,0,3.768,0.092,0.006,-89.822,0.63,6.16,0.025,0.006,-108.841,1.004,11.395,0.004,0.013,-18.524,0.858
82,4257,45453988_1450,3/29/2023 1:31,24.7,2,QPLog 10-1631 (16) rev16,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,1,2012,Pass,0,0,,2.307,3.003,3.316,3.379,4.048,4.367,5.179,5.536,6.23,7.158,3.749,0.4,-1.576,-0.099,-1.007,-1.04,0.594,-1.083,0.494,-1.235,-0.382,-0.839,2.158,0.262,0.011,-48.759,0.203,2.307,0.311,0.012,-51.472,0.193,3.003,0.11,0.01,-57.183,0.304,3.113,0.205,0.006,-158.913,0.496,3.139,0.081,0.004,-113.787,0.838,3.316,0.082,0.007,-96.936,0.464,3.379,0.109,0.01,-72.706,0.354,4.048,0.027,0.007,-82.199,0.611,4.206,0.061,0.006,-193.604,0.708,4.277,0.192,0.007,-148.849,0.651,4.367,0.219,0.006,-146.175,0.759,4.73,0.111,0.009,-82.756,0.525,5.072,0.176,0.011,-44.479,0.453,5.179,0.079,0.008,-64.234,0.672,5.536,0.098,0.005,-114.401,1.095,6,0.14,0.006,-176.341,1.055,6.058,0.184,0.006,-100.727,0.937,6.23,0.122,0.005,-174.901,1.147,6.607,0.019,0.004,-63.054,1.737,6.92,0.009,0.003,-19.615,2.129,7.158,0.069,0.007,-75.294,1.076,8.306,0.017,0.008,-59.957,1.026,8.388,0.019,0.01,-16.494,0.877,5.113,0.031,0.004,-99.832,1.27,5.685,0.014,0.007,-61.802,0.855,3.749,0.098,0.009,-51.792,0.425,6.125,0.005,0.002,-57.99,2.522,11.332,0.008,0.002,-12.042,6.85
83,4310,45493854_1450,4/19/2023 15:18,25.5,2,QPLog 10-1631 (16) rev15,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,2,2012,Pass,0,0,,2.302,3.02,3.306,3.378,4.04,4.333,5.165,5.503,6.232,7.14,3.746,-0.124,-0.132,-1.129,-1.027,-1.477,-1.399,-1.745,-1.443,-1.161,-1.244,-1.225,2.177,0.049,0.012,-22.123,0.183,2.302,0.486,0.013,-46.825,0.181,3.02,0.103,0.006,-118.55,0.5,3.125,0.262,0.007,-112.637,0.48,3.155,0.012,0.003,-231.004,1.06,3.306,0.115,0.007,-107.142,0.495,3.378,0.045,0.013,-44.095,0.261,4.04,0.053,0.008,-111.054,0.501,4.185,0.055,0.005,-231.305,0.764,4.25,0.123,0.006,-170.594,0.75,4.333,0.081,0.007,-99.526,0.652,4.698,0.076,0.007,-121.933,0.68,5.036,0.114,0.012,-48.153,0.432,5.165,0.085,0.007,-73.601,0.711,5.503,0.059,0.005,-159.183,1.003,5.979,0.115,0.004,-194.366,1.437,6.032,0.077,0.006,-118.8,1.006,6.232,0.083,0.005,-192.147,1.197,6.613,0.016,0.011,-30.576,0.61,6.959,0.013,0.008,-60.04,0.82,7.14,0.089,0.008,-62.645,0.864,8.277,0.017,0.01,-47.836,0.868,8.375,0.013,0.008,-52.405,1.018,5.094,0.04,0.006,-153.229,0.9,5.689,0.014,0.006,-125.834,0.976,3.746,0.112,0.008,-64.368,0.488,6.116,0.04,0.006,-104.018,1.025,11.322,0.002,0.009,-14.516,1.195
84,4587,45442187_1450,3/22/2023 21:28,20.6,2,QPLog 10-1631 (16) rev16,FALSE,,B3,,,,,,Pass,,,400_LA (new),,,,,,Pass,0,0,,2.296,3.015,3.32,3.409,4.073,4.369,5.25,5.539,6.252,7.259,3.756,-0.793,-0.493,0.314,0.833,0.264,0.691,2.439,0.713,-0.282,4.655,-0.164,2.158,0.096,0.012,-32.657,0.186,2.296,0.222,0.011,-9.844,0.206,3.015,0.095,0.014,-63.579,0.22,3.126,0.114,0.005,-185.329,0.577,3.165,0.007,0.002,-188.824,1.51,3.32,0.111,0.008,-120.246,0.414,3.409,0.159,0.012,-33.814,0.276,4.073,0.047,0.006,-136.296,0.641,4.203,0.039,0.006,-113.9,0.727,4.292,0.186,0.006,-110.211,0.71,4.369,0.332,0.01,-56.445,0.418,4.74,0.328,0.011,-53.562,0.44,5.074,0.292,0.008,-80.693,0.674,5.25,0.065,0.006,-139.434,0.843,5.539,0.156,0.01,-75.448,0.569,6.004,0.067,0.006,-183.889,0.936,6.066,0.037,0.004,-225.282,1.353,6.252,0.078,0.008,-73.057,0.8,6.64,0.002,0.005,-40.3,1.262,0,0,0,0,0,7.259,0.064,0.012,-27.388,0.591,8.313,0.037,0.008,-56.951,1.049,8.405,0.055,0.012,-45.595,0.714,5.124,0.057,0.003,-208.725,1.83,5.704,0.009,0.006,-66.021,0.966,3.756,0.107,0.007,-65.649,0.553,6.15,0.054,0.005,-123.441,1.161,11.388,0.004,0.007,-13.49,1.536
85,5394,45481222_1450,4/12/2023 22:09,26.2,2,QPLog 10-1631 (16) rev15,TRUE,,B3,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,12,2014,Pass,0,0,,2.316,3.02,3.319,3.393,4.063,4.347,5.194,5.525,6.251,7.152,3.755,1.389,-0.098,0.21,-0.155,-0.245,-0.599,-0.298,-0.131,-0.342,-0.648,-0.287,2.165,0.272,0.014,-30.901,0.159,2.316,0.282,0.014,-12.338,0.171,3.02,0.08,0.006,-114.911,0.495,3.134,0.142,0.007,-113.499,0.47,3.156,0.04,0.005,-142.802,0.605,3.319,0.063,0.007,-87.166,0.46,3.393,0.062,0.007,-84.225,0.474,4.063,0.024,0.005,-141.29,0.767,4.213,0.047,0.006,-235.272,0.734,4.272,0.11,0.005,-181.596,0.777,4.347,0.117,0.007,-119.376,0.616,4.712,0.051,0.007,-109.914,0.663,5.06,0.13,0.01,-47.663,0.53,5.194,0.052,0.006,-54.145,0.864,5.525,0.07,0.005,-167.477,1.043,5.996,0.108,0.006,-137.397,0.948,6.061,0.013,0.005,-154.94,1.332,6.251,0.061,0.005,-185.924,1.201,6.643,0.015,0.008,-53.955,0.82,6.957,0.006,0.006,-51.734,1.228,7.152,0.058,0.009,-53.143,0.801,8.289,0.011,0.011,-37.117,0.776,8.411,0.008,0.009,-32.272,0.901,5.125,0.016,0.004,-93.24,1.218,5.703,0.007,0.009,-36.691,0.667,3.755,0.066,0.005,-64.953,0.781,6.133,0.005,0.005,-91.039,1.172,11.351,0.013,0.015,-11.015,0.754
86,5394,45481222_1450,4/12/2023 22:27,26,2,QPLog 10-1631 (16) rev15,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,12,2014,Pass,0,0,,2.32,3.021,3.322,3.392,4.066,4.346,5.195,5.524,6.25,7.153,3.757,1.78,-0.003,0.52,-0.195,-0.118,-0.657,-0.268,-0.216,-0.361,-0.626,0.006,2.164,0.3,0.007,-10.92,0.31,2.32,0.204,0.004,-4.229,0.648,3.021,0.098,0.006,-111.001,0.484,3.135,0.187,0.007,-134.03,0.48,3.158,0.088,0.006,-116.851,0.517,3.322,0.091,0.008,-97.192,0.412,3.392,0.046,0.007,-78.87,0.508,4.066,0.053,0.006,-112.945,0.654,4.214,0.052,0.005,-248.14,0.784,4.27,0.081,0.007,-149.163,0.649,4.346,0.108,0.007,-124.818,0.65,4.712,0.059,0.008,-114.907,0.625,5.057,0.106,0.01,-52.405,0.507,5.195,0.069,0.006,-104.894,0.845,5.524,0.051,0.005,-166.123,1.049,5.996,0.115,0.006,-136.497,0.967,6.061,0.009,0.004,-148.747,1.499,6.25,0.058,0.005,-191.357,1.224,6.642,0.016,0.008,-44.502,0.823,6.958,0.007,0.005,-46.364,1.274,7.153,0.064,0.008,-60.054,0.868,8.292,0.016,0.009,-45.046,0.893,8.411,0.008,0.009,-37.413,0.933,5.125,0.024,0.004,-197.403,1.309,5.703,0.008,0.009,-67.384,0.666,3.757,0.078,0.006,-76.315,0.626,6.133,0.021,0.005,-148.758,1.317,11.361,0.005,0.016,-12.174,0.711
87,6139,45483807_1450,4/13/2023 19:30,25.9,2,QPLog 10-1631 (16) rev15,TRUE,,B3,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,4,2015,Pass,0,0,,2.319,3.03,3.316,3.394,4.064,4.35,5.197,5.527,6.262,7.172,3.76,1.701,0.793,-0.167,-0.094,-0.2,-0.388,-0.194,-0.04,0.14,0.337,0.283,2.161,0.231,0.017,-8.783,0.128,2.319,0.213,0.021,-5.544,0.109,3.03,0.083,0.013,-63.191,0.226,3.14,0.221,0.006,-134.15,0.497,3.159,0.021,0.002,-295.864,1.372,3.316,0.099,0.006,-114.276,0.539,3.394,0.042,0.007,-76.893,0.521,4.064,0.047,0.005,-123.104,0.806,4.197,0.048,0.006,-191.834,0.705,4.273,0.074,0.006,-182.877,0.721,4.35,0.071,0.006,-108.367,0.703,4.719,0.054,0.008,-94.617,0.622,5.059,0.112,0.009,-56.082,0.591,5.197,0.081,0.006,-83.641,0.825,5.527,0.043,0.006,-144.359,0.966,5.991,0.081,0.005,-196.895,1.092,6.057,0.088,0.006,-124.956,1.049,6.262,0.066,0.006,-161.715,1.097,6.652,0.023,0.007,-80.054,1.005,6.993,0.013,0.009,-51.32,0.783,7.172,0.073,0.008,-72.394,0.861,8.315,0.017,0.011,-37.458,0.766,8.418,0.011,0.01,-47.8,0.883,5.11,0.024,0.004,-206.363,1.271,5.701,0.01,0.007,-83.192,0.808,3.76,0.089,0.012,-40.875,0.313,6.135,0.006,0.005,-111.355,1.263,11.371,0.004,0.015,-11.092,0.759
88,6139,45483807_1450,4/13/2023 19:36,25.9,2,QPLog 10-1631 (16) rev15,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,4,2015,Pass,0,0,,2.311,3.03,3.316,3.393,4.064,4.35,5.196,5.526,6.261,7.171,3.76,0.907,0.793,-0.133,-0.126,-0.223,-0.407,-0.231,-0.082,0.11,0.305,0.278,2.165,0.198,0.003,-2.091,0.692,2.311,0.263,0.013,-12.552,0.184,3.03,0.089,0.013,-67.305,0.226,3.14,0.227,0.007,-128.171,0.48,3.159,0.024,0.002,-269.565,1.368,3.316,0.117,0.006,-124.768,0.561,3.393,0.048,0.007,-76.098,0.52,4.064,0.057,0.005,-145.063,0.805,4.197,0.056,0.006,-208.705,0.721,4.273,0.079,0.006,-189.409,0.73,4.35,0.086,0.006,-105.253,0.692,4.718,0.064,0.007,-104.978,0.647,5.059,0.114,0.009,-59.863,0.555,5.196,0.079,0.006,-99.182,0.871,5.526,0.045,0.003,-196.378,1.6,5.99,0.087,0.005,-217.618,1.131,6.057,0.09,0.006,-122.195,1.022,6.261,0.063,0.006,-140.522,1.056,6.652,0.024,0.006,-97.267,1.1,6.992,0.013,0.009,-55.322,0.801,7.171,0.077,0.008,-75.165,0.864,8.314,0.015,0.011,-32.448,0.77,8.418,0.015,0.011,-32.795,0.736,5.109,0.023,0.004,-212.939,1.261,5.701,0.013,0.006,-98.279,0.891,3.76,0.088,0.009,-50.493,0.42,6.135,0.005,0.005,-105.663,1.27,11.371,0.004,0.009,-15.71,1.238
89,6141,45427917_1450,3/13/2023 20:58,22.6,2,QPLog 10-1631 (16) rev14,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,4,2015,Pass,0,0,,2.313,3.015,3.309,3.397,4.066,4.341,5.198,5.518,6.259,7.165,3.755,1.032,-0.566,-0.854,0.094,-0.134,-0.889,-0.129,-0.516,0.003,0,-0.226,2.17,0.095,0.003,-29.982,0.719,2.313,0.172,0.011,-30.899,0.208,3.015,0.122,0.009,-41.444,0.346,3.134,0.17,0.006,-198.824,0.549,3.162,0.211,0.004,-144.139,0.811,3.309,0.082,0.008,-88.721,0.415,3.397,0.061,0.007,-76.797,0.502,4.066,0.066,0.006,-121.122,0.674,4.184,0.045,0.007,-156.298,0.568,4.276,0.061,0.007,-137.673,0.645,4.341,0.088,0.006,-112.317,0.733,4.71,0.081,0.008,-118.977,0.569,5.05,0.098,0.008,-61.725,0.617,5.198,0.014,0.004,-119.169,1.249,5.518,0.071,0.005,-140.972,1.101,5.976,0.053,0.006,-186.294,1.027,6.049,0.063,0.007,-117.246,0.878,6.259,0.057,0.006,-163.462,1.106,6.645,0.043,0.006,-114.739,1.141,6.984,0.057,0.007,-94.374,0.989,7.165,0.069,0.007,-82.207,0.974,8.307,0.012,0.012,-28.393,0.703,8.42,0.056,0.008,-87.98,1.116,5.101,0.01,0.002,-24.193,3.185,5.7,0.018,0.006,-115.855,0.908,3.755,0.218,0.008,-85.234,0.486,6.144,0.03,0.006,-99.388,1.117,11.372,0.003,0.012,-17.927,0.945
90,6407,45456773_1450,3/31/2023 18:50,20.4,2,QPLog 10-1631 (16) rev16,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,9,2015,Pass,0,0,,2.314,3.027,3.327,3.405,4.077,4.391,5.213,5.561,6.262,7.205,3.775,1.233,0.482,1.035,0.553,0.457,1.952,0.615,1.997,0.152,2.005,1.81,2.159,0.008,0.004,-46.099,0.508,2.314,0.025,0.005,-8.263,0.485,3.027,0.209,0.006,-8.356,0.544,3.141,0.301,0.011,-45.493,0.281,3.165,0.037,0.009,-134.353,0.344,3.327,0.176,0.009,-57.318,0.373,3.405,0.164,0.01,-28.991,0.343,4.077,0.038,0.006,-94.851,0.739,4.225,0.089,0.006,-216.299,0.732,4.3,0.162,0.007,-102.02,0.626,4.391,0.284,0.009,-61.106,0.467,4.749,0.201,0.009,-55.371,0.502,5.099,0.304,0.011,-48.422,0.46,5.213,0.096,0.008,-75.982,0.654,5.561,0.124,0.006,-85.279,1.007,6.03,0.027,0.006,-85.528,1.047,6.089,0.162,0.008,-72.237,0.799,6.262,0.114,0.006,-103.515,0.984,6.66,0.02,0.008,-36.224,0.825,6.972,0.013,0.003,-26.714,2.027,7.205,0.086,0.009,-39.274,0.822,8.342,0.019,0.009,-32.497,0.918,8.44,0.039,0.012,-19.039,0.695,5.161,0.038,0.003,-158.375,1.491,5.705,0.013,0.008,-96.732,0.73,3.775,0.187,0.009,-58.896,0.431,6.146,0.006,0.005,-91.96,1.353,11.43,0.013,0.013,-9.498,0.868
91,8036,45447508_1450,3/24/2023 21:00,20.2,2,QPLog 10-1631 (16) rev16,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,8,2017,Pass,0,0,,2.308,3.02,3.315,3.412,4.081,4.356,5.213,5.538,6.271,7.18,3.76,0.57,-0.051,-0.236,0.969,0.69,-0.041,0.628,0.605,0.52,0.716,0.278,2.187,0.229,0.01,-37.866,0.229,2.308,0.238,0.014,-42.058,0.166,3.02,0.078,0.007,-43.442,0.408,3.139,0.198,0.007,-139.124,0.433,3.171,0.135,0.008,-66.978,0.394,3.315,0.117,0.006,-109.804,0.52,3.412,0.063,0.011,-47.797,0.317,4.081,0.058,0.006,-156.462,0.716,4.205,0.063,0.006,-212.262,0.712,4.284,0.099,0.006,-207.922,0.717,4.356,0.194,0.006,-140.994,0.742,4.723,0.108,0.007,-111.274,0.71,5.076,0.148,0.009,-55.06,0.545,5.213,0.067,0.006,-81.412,0.934,5.538,0.076,0.006,-124.347,0.903,6.014,0.126,0.007,-134.74,0.91,6.076,0.125,0.005,-166.873,1.185,6.271,0.104,0.006,-158.911,1.072,6.657,0.021,0.008,-48.434,0.877,6.967,0.005,0.005,-72.466,1.478,7.18,0.157,0.008,-65.728,0.864,8.313,0.027,0.014,-30.926,0.589,8.422,0.035,0.008,-65.978,1.063,5.14,0.014,0.003,-126.977,1.563,0,0,0,0,0,3.76,0.153,0.007,-73.574,0.507,6.165,0.036,0.005,-88.071,1.356,11.396,0.004,0.007,-15.737,1.636
92,9065,45459487_1450,4/1/2023 17:17,21.4,2,QPLog 10-1631 (16) rev16,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,9,2018,Pass,0,0,,2.296,3.018,3.323,3.419,4.105,4.387,5.234,5.548,6.28,7.197,3.762,-0.718,-0.244,0.623,1.387,1.923,1.721,1.69,1.215,0.927,1.556,0.529,2.173,0.242,0.004,-10.404,0.494,2.296,0.156,0.005,-44.815,0.435,3.018,0.078,0.015,-30.439,0.203,3.137,0.185,0.006,-144.279,0.505,3.181,0.168,0.01,-48.468,0.318,3.323,0.136,0.006,-122.882,0.52,3.419,0.037,0.013,-37.919,0.273,4.105,0.081,0.008,-106.957,0.533,4.216,0.061,0.005,-228.221,0.792,4.308,0.045,0.006,-155.051,0.732,4.387,0.094,0.006,-116.063,0.765,4.744,0.068,0.008,-94.81,0.605,5.095,0.106,0.012,-37.043,0.409,5.234,0.087,0.006,-43.744,0.951,5.548,0.023,0.006,-121.751,0.938,6.026,0.108,0.006,-114.796,0.96,6.09,0.096,0.006,-122.183,1.065,6.28,0.079,0.006,-149.071,1.1,6.661,0.012,0.009,-43.539,0.726,6.966,0.009,0.003,-23.339,2.048,7.197,0.095,0.007,-72.011,1.03,8.342,0.017,0.009,-25.424,0.94,8.423,0.019,0.011,-34.446,0.776,5.144,0.044,0.006,-133.516,0.914,5.709,0.008,0.004,-42.817,1.307,3.762,0.103,0.007,-46.632,0.547,6.175,0.041,0.007,-93.707,0.89,11.437,0.001,0.008,-11.895,1.394
